Gruppe3_2020_Iod_od__1.dat
13.07.2020
16:17
Iod_Linie
Fq-abs[Hz] od-abs Fq-disp[Hz] od-disp Fq-Abstab[Hz] V-Abstab[V] Fg-Disptab[Hz] V-Disptab[V]
407400000.0000000000 0.0285852981 420950000.0000000000 0.0150964671 378500000.0000000000 -1.0000000000 392950000.0000000000 -1.0250000000
434500000.0000000000 0.0339675098 447700000.0000000000 0.0123036671 407400000.0000000000 1.0500000000 420950000.0000000000 1.1000000000
460900000.0000000000 0.0401960972 475250000.0000000000 0.0100122430 434500000.0000000000 -1.1500000000 447700000.0000000000 -1.1400000000
489600000.0000000000 0.0437863818 503250000.0000000000 0.0121624824 460900000.0000000000 1.1300000000 475250000.0000000000 1.1650000000
516900000.0000000000 0.0445875838 530400000.0000000000 0.0020107598 489600000.0000000000 -1.2000000000 503250000.0000000000 -1.2100000000
543900000.0000000000 0.0456848765 557400000.0000000000 -0.0044634754 516900000.0000000000 1.2200000000 530400000.0000000000 1.2650000000
570900000.0000000000 0.0471202571 584600000.0000000000 -0.0041528346 543900000.0000000000 -1.3100000000 557400000.0000000000 -1.2700000000
598300000.0000000000 0.0508420872 612450000.0000000000 0.0016839201 570900000.0000000000 1.2300000000 584600000.0000000000 1.2250000000
626600000.0000000000 0.0630630185 639950000.0000000000 -0.0097725195 598300000.0000000000 -1.2200000000 612450000.0000000000 -1.2300000000
653300000.0000000000 0.0626040669 666550000.0000000000 -0.0174247084 626600000.0000000000 1.2400000000 639950000.0000000000 1.3200000000
679800000.0000000000 0.0644509386 694100000.0000000000 -0.0162957039 653300000.0000000000 -1.4000000000 666550000.0000000000 -1.2700000000
708400000.0000000000 0.0646672542 722800000.0000000000 -0.0178498925 679800000.0000000000 1.1400000000 694100000.0000000000 1.1350000000
737200000.0000000000 0.0675557581 751250000.0000000000 -0.0211145083 708400000.0000000000 -1.1300000000 722800000.0000000000 -1.1400000000
765300000.0000000000 0.0723341120 778150000.0000000000 -0.0314923432 737200000.0000000000 1.1500000000 751250000.0000000000 1.2150000000
791000000.0000000000 0.0684817705 805550000.0000000000 -0.0383111478 765300000.0000000000 -1.2800000000 778150000.0000000000 -1.2900000000
820100000.0000000000 0.0734783796 834250000.0000000000 -0.0423517050 791000000.0000000000 1.3000000000 805550000.0000000000 1.2150000000
848400000.0000000000 0.0680330749 862350000.0000000000 -0.0381057860 820100000.0000000000 -1.1300000000 834250000.0000000000 -1.1600000000
876300000.0000000000 0.0751475884 889850000.0000000000 -0.0364757493 848400000.0000000000 1.1900000000 862350000.0000000000 1.3150000000
903400000.0000000000 0.0731635234 914950000.0000000000 -0.0602968485 876300000.0000000000 -1.4400000000 889850000.0000000000 -1.8350000000
926500000.0000000000 0.0763661484 940400000.0000000000 -0.0577761272 903400000.0000000000 2.2300000000 914950000.0000000000 2.0550000000
954300000.0000000000 0.0758953795 969150000.0000000000 -0.0517272773 926500000.0000000000 -1.8800000000 940400000.0000000000 -1.6000000000
984000000.0000000000 0.0737646840 997500000.0000000000 -0.0654867908 954300000.0000000000 1.3200000000 969150000.0000000000 1.3600000000
1011000000.0000000000 0.0775283073 1024900000.0000000000 -0.0724826274 984000000.0000000000 -1.4000000000 997500000.0000000000 -1.3700000000
1038800000.0000000000 0.0737284146 1052750000.0000000000 -0.0722750425 1011000000.0000000000 1.3400000000 1024900000.0000000000 1.3250000000
1066700000.0000000000 0.0682476504 1080050000.0000000000 -0.0784988831 1038800000.0000000000 -1.3100000000 1052750000.0000000000 -1.3650000000
1093400000.0000000000 0.0697137303 1107050000.0000000000 -0.0828861128 1066700000.0000000000 1.4200000000 1080050000.0000000000 1.3850000000
1120700000.0000000000 0.0598126024 1134400000.0000000000 -0.0846038783 1093400000.0000000000 -1.3500000000 1107050000.0000000000 -1.3700000000
1148100000.0000000000 0.0593220077 1162700000.0000000000 -0.0844842931 1120700000.0000000000 1.3900000000 1134400000.0000000000 1.3250000000
1177300000.0000000000 0.0519902197 1190450000.0000000000 -0.0902109287 1148100000.0000000000 -1.2600000000 1162700000.0000000000 -1.2800000000
1203600000.0000000000 0.0545557420 1216650000.0000000000 -0.0923449605 1177300000.0000000000 1.3000000000 1190450000.0000000000 1.3800000000
1229700000.0000000000 0.0476868531 1242550000.0000000000 -0.0935587776 1203600000.0000000000 -1.4600000000 1216650000.0000000000 -1.5000000000
1255400000.0000000000 0.0464615535 1269200000.0000000000 -0.0932032464 1229700000.0000000000 1.5400000000 1242550000.0000000000 1.4250000000
1283000000.0000000000 0.0427228029 1298100000.0000000000 -0.0850720250 1255400000.0000000000 -1.3100000000 1269200000.0000000000 -1.1700000000
