lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
590.865,26977.559,23055.49,25016.5245,150.097,25036.067,45435.202,36795.221,32497.76,24099.885,27468.404,30857.442,29220.471,27045.288,25073.375,23745.558,34757.442,24908.952,28939.202,26071.375,25887.202
590.993,26804.538,22908.077,24856.307500000003,148.624,24942.077,45298.567,36641.933,32434.337,23996.702,27332.606,30835.288,29147.721,26980.981,24997.192,23640.894,34636.558,24804.385,28844.558,26022.923,25824.721
591.121,26915.118,22960.279,24937.6985,152.882,24983.923,45438.327,36761.365,32447.625,24036.519,27385.183,30859.538,29169.49,26974.077,24984.635,23678.327,34705.433,24862.385,28859.721,26024.51,25879.519
591.249,26961.075,22960.029,24960.552,145.989,24983.74,45340.144,36690.115,32439.971,24055.817,27397.0,30865.0,29177.019,27032.558,25005.702,23675.183,34627.135,24899.135,28812.587,26044.817,25857.683
591.377,26973.505,22947.875,24960.690000000002,151.57,25038.51,45384.154,36771.163,32481.702,24059.558,27370.327,30924.798,29244.394,27045.433,25063.846,23715.077,34670.538,24946.279,28857.894,26052.481,25887.269
591.505,26944.538,23068.048,25006.292999999998,147.409,25093.808,45351.173,36810.154,32489.981,24134.26,27415.308,30943.048,29321.327,27104.558,25086.846,23764.788,34697.587,24960.394,28827.933,26126.548,25909.529
591.633,26870.441,22964.394,24917.4175,152.226,24993.654,45296.625,36677.856,32507.442,24110.99,27370.587,30899.856,29230.644,27027.481,25052.433,23707.471,34697.548,24893.183,28787.202,26081.76,25847.49
591.762,26929.011,22983.096,24956.0535,146.204,25040.5,45477.827,36814.962,32483.548,24111.548,27401.692,30962.298,29290.548,27128.173,25077.635,23705.885,34682.875,24945.788,28815.173,26100.49,25884.692
591.89,26898.677,23012.519,24955.597999999998,154.935,25034.308,45495.375,36798.183,32603.125,24131.654,27445.106,30955.721,29311.462,27084.692,25165.663,23720.538,34708.904,24969.385,28836.904,26117.423,25943.221
592.018,27042.968,23069.856,25056.412,156.516,25102.01,45464.596,36852.529,32630.663,24230.798,27516.673,31100.875,29349.058,27169.74,25180.202,23852.385,34785.548,25048.183,28893.769,26208.567,25960.885
592.146,27022.323,23036.385,25029.354,152.785,25082.606,45565.375,36831.49,32604.692,24146.221,27456.404,31073.212,29410.183,27200.923,25213.875,23803.731,34819.625,25037.221,28833.538,26180.346,26039.913
592.274,26965.602,23012.067,24988.834499999997,154.355,25009.163,45503.74,36837.471,32609.144,24167.712,27414.5,31023.375,29356.269,27174.26,25112.019,23769.644,34632.298,25003.913,28869.183,26192.452,25932.567
592.402,26960.032,23051.788,25005.91,141.172,25038.538,45533.231,36871.721,32634.654,24176.615,27392.087,31066.846,29357.26,27209.904,25224.029,23747.115,34699.471,24985.442,28848.923,26172.673,25951.644
592.53,27144.946,23197.567,25171.2565,145.882,25284.942,45720.865,37034.654,32848.644,24425.173,27613.038,31286.558,29537.817,27414.971,25359.0,23958.337,34925.058,25196.212,29036.173,26392.125,26177.971
