lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
596.246,11298.634,9564.192,10431.413,146.72,10408.394,20845.615,23111.298,13905.154,9897.327,10929.433,12398.26,11491.51,11514.567,10669.942,9879.683,13912.038,10123.548,11609.519,10693.087,10862.087
596.374,11220.742,9490.519,10355.6305,158.032,10335.096,20764.163,23017.385,13857.51,9826.692,10868.798,12331.385,11412.904,11434.212,10592.096,9785.885,13829.115,10043.048,11549.452,10643.635,10801.433
596.502,11274.774,9478.442,10376.608,160.108,10367.731,20823.837,23011.423,13907.231,9863.635,10877.24,12376.635,11423.038,11464.337,10632.212,9810.308,13875.385,10083.163,11598.365,10643.942,10830.288
596.63,11266.484,9509.337,10387.9105,144.473,10391.519,20833.183,23044.038,13934.885,9898.635,10917.837,12417.019,11463.894,11498.654,10651.183,9804.779,13872.702,10116.423,11597.885,10681.702,10835.038
596.758,11255.957,9496.202,10376.0795,148.247,10368.433,20836.51,23043.875,13946.827,9876.029,10893.385,12408.558,11474.192,11500.654,10658.894,9777.577,13827.115,10078.346,11585.99,10663.846,10842.048
596.887,11264.419,9499.558,10381.9885,139.86,10358.567,20903.327,23162.51,13951.404,9913.019,10933.385,12443.596,11510.327,11523.99,10681.135,9827.337,13895.029,10098.481,11577.029,10654.875,10807.837
597.015,11263.022,9478.923,10370.9725,151.172,10385.087,20912.663,23031.99,14002.567,9870.327,10929.49,12463.298,11505.76,11529.038,10692.462,9800.423,13886.567,10103.346,11578.548,10696.731,10854.221
597.143,11275.581,9492.077,10383.829,150.129,10387.173,20927.192,23121.0,14000.077,9884.067,10916.337,12460.212,11511.875,11545.019,10722.663,9818.798,13897.019,10121.481,11595.75,10700.981,10864.923
597.271,11274.462,9495.26,10384.861,149.559,10389.01,20904.942,23076.519,14005.673,9922.981,10909.413,12473.913,11512.337,11543.337,10709.423,9821.375,13888.75,10115.856,11646.183,10709.548,10861.24
597.399,11320.71,9569.779,10445.2445,140.441,10435.0,20966.808,23159.077,14091.087,9965.452,10979.24,12520.452,11585.615,11620.817,10780.894,9862.231,13906.0,10186.808,11664.538,10721.308,10908.933
597.527,11293.301,9516.375,10404.838,155.29,10410.952,20904.394,23062.442,14059.49,9958.635,10945.817,12513.971,11566.404,11564.048,10735.51,9858.712,13892.75,10138.385,11608.721,10733.067,10903.067
597.655,11308.957,9523.471,10416.214,139.538,10428.212,20941.231,23190.615,14085.269,9964.981,10963.76,12502.981,11543.346,11570.308,10751.308,9851.942,13874.49,10130.471,11630.327,10731.615,10869.529
597.783,11318.097,9555.567,10436.831999999999,143.441,10437.481,20919.644,23134.856,14072.308,9965.0,10969.904,12514.923,11566.606,11607.231,10773.577,9862.183,13906.154,10172.76,11630.144,10758.567,10892.5
597.912,11327.301,9514.096,10420.698499999999,142.118,10402.75,20912.529,23193.462,14088.038,9965.029,10988.471,12510.625,11548.394,11618.827,10785.846,9860.202,13918.404,10168.654,11639.606,10760.817,10915.673
598.04,11375.172,9569.337,10472.2545,148.183,10439.279,20950.875,23171.106,14113.01,10012.221,11005.712,12541.567,11601.865,11637.548,10793.442,9878.596,13937.317,10172.702,11653.067,10787.365,10954.76
598.168,11291.419,9513.529,10402.474,145.462,10411.192,20930.933,23170.135,14092.971,9996.904,10995.683,12540.952,11563.356,11595.788,10777.51,9841.077,13901.913,10159.808,11600.067,10732.462,10909.837
598.296,11294.129,9487.279,10390.704000000002,139.688,10366.413,20895.644,23088.115,14054.712,9938.51,10951.327,12449.192,11519.365,11588.173,10742.519,9824.606,13811.154,10116.865,11574.404,10737.173,10863.548
598.424,11475.957,9668.048,10572.0025,150.28,10579.096,21053.971,23300.231,14224.798,10116.942,11137.663,12657.423,11713.019,11771.038,10952.26,10006.385,14006.173,10338.635,11733.846,10903.837,11089.5
598.552,11329.086,9510.096,10419.591,142.054,10397.596,20863.25,23169.885,14106.788,9972.26,10964.74,12520.029,11557.25,11586.952,10783.115,9804.163,13813.442,10104.817,11575.837,10729.567,10862.606
598.68,11296.871,9489.962,10393.4165,139.828,10431.096,20861.346,23168.288,14122.087,9994.923,10999.817,12542.154,11574.442,11620.346,10800.0,9842.663,13844.144,10149.548,11582.462,10741.308,10886.635
598.808,11356.323,9570.087,10463.205,138.903,10472.029,20977.298,23223.558,14158.692,10040.317,11023.0,12572.048,11630.817,11666.635,10853.048,9900.596,13888.721,10198.442,11619.221,10789.067,10969.019
598.937,11299.14,9514.952,10407.045999999998,142.452,10430.212,20905.048,23140.894,14126.606,10006.798,10954.779,12529.933,11589.356,11604.308,10818.577,9854.442,13828.5,10184.365,11534.942,10749.875,10916.981
599.065,11324.903,9524.144,10424.5235,158.656,10429.288,20854.817,23212.135,14132.885,10056.288,10984.212,12546.798,11589.913,11616.817,10832.029,9852.346,13840.635,10165.26,11587.615,10730.731,10887.913
599.193,11349.097,9566.74,10457.9185,148.763,10476.644,20944.962,23155.817,14176.933,10057.981,11026.125,12596.808,11593.385,11650.779,10891.817,9914.577,13887.452,10211.654,11644.048,10806.856,10944.221
599.321,11343.323,9558.548,10450.9355,143.355,10462.269,20896.817,23246.087,14182.192,10032.5,11005.106,12579.76,11642.596,11667.865,10815.846,9885.913,13883.654,10193.606,11575.654,10779.942,10976.779
599.449,11297.57,9483.308,10390.439,140.398,10401.846,20852.462,23133.75,14152.125,9993.548,10950.375,12562.404,11571.019,11635.615,10798.788,9860.721,13809.231,10145.75,11530.346,10748.346,10887.067
599.577,11291.237,9501.048,10396.1425,139.688,10425.173,20824.144,23123.663,14171.288,9985.731,10958.846,12518.423,11572.212,11621.317,10807.5,9835.048,13807.625,10137.202,11541.779,10737.26,10864.26
599.705,11321.688,9536.702,10429.195,147.946,10429.048,20863.846,23140.856,14173.837,10035.788,10987.471,12562.125,11596.135,11640.577,10835.394,9863.452,13798.567,10160.981,11545.731,10749.673,10895.625
599.833,11270.688,9505.615,10388.1515,148.978,10385.0,20810.885,23158.231,14141.731,9977.163,10938.048,12550.394,11531.452,11645.452,10834.385,9820.048,13792.808,10170.596,11503.038,10711.5,10880.99
599.962,11268.699,9456.942,10362.8205,142.785,10310.673,20809.298,23149.019,14095.76,9966.663,10882.654,12501.385,11561.952,11606.51,10801.942,9842.817,13738.192,10086.337,11471.115,10683.192,10854.221
600.09,11253.817,9477.413,10365.615,141.269,10394.356,20808.269,23188.067,14174.875,10017.962,10967.462,12547.587,11580.048,11625.817,10841.817,9847.74,13781.442,10163.231,11490.135,10742.76,10881.904
600.218,11242.613,9476.654,10359.6335,145.677,10378.865,20775.067,23156.981,14156.385,9999.106,10969.25,12531.135,11590.76,11612.471,10816.135,9825.346,13757.837,10151.837,11494.712,10723.702,10894.856
600.346,11234.516,9461.971,10348.2435,144.484,10376.442,20779.221,23145.625,14202.692,10009.798,10966.192,12548.26,11587.644,11600.846,10846.74,9806.673,13776.231,10129.913,11476.385,10720.115,10873.125
600.474,11202.634,9488.933,10345.783500000001,135.839,10373.308,20787.0,23104.212,14131.442,9967.51,10910.327,12518.702,11565.106,11597.154,10803.942,9789.221,13729.981,10117.692,11465.712,10688.144,10850.5
600.602,11183.548,9460.76,10322.154,142.978,10334.087,20783.99,23063.356,14112.99,9979.577,10894.058,12519.519,11508.99,11554.923,10805.808,9792.952,13714.519,10105.558,11426.385,10686.096,10812.471
600.73,11201.29,9455.635,10328.462500000001,147.624,10336.75,20767.663,23127.25,14143.702,9998.875,10906.115,12542.202,11558.038,11590.212,10809.769,9778.962,13749.125,10087.462,11393.365,10709.375,10840.827
600.858,11233.828,9432.269,10333.0485,146.237,10347.327,20815.971,23157.904,14226.25,10005.692,10926.385,12555.077,11576.654,11618.712,10819.856,9791.519,13767.279,10128.962,11436.231,10722.413,10812.106
600.987,11285.785,9504.346,10395.0655,135.516,10414.26,20939.865,23136.048,14263.712,10076.394,11007.587,12599.952,11643.25,11692.096,10918.202,9839.75,13834.837,10208.356,11480.413,10789.615,10930.76
601.115,11234.226,9467.154,10350.69,140.978,10356.962,20781.519,23126.067,14210.606,10034.087,10955.721,12600.221,11550.375,11632.135,10838.106,9808.971,13729.712,10134.394,11438.029,10763.317,10848.625
601.243,11328.806,9535.971,10432.388500000001,145.753,10427.385,20889.01,23143.827,14314.337,10096.221,11025.942,12657.615,11646.115,11734.433,10928.615,9899.529,13813.058,10232.596,11491.048,10822.038,10938.337
601.371,11282.688,9541.913,10412.300500000001,147.333,10468.606,20926.538,23199.798,14312.298,10128.01,11037.154,12701.019,11707.202,11712.385,10950.798,9890.635,13843.202,10234.442,11503.231,10828.49,10978.923
601.499,11263.022,9534.269,10398.6455,136.441,10441.99,20936.529,23167.587,14286.115,10126.356,11007.702,12684.452,11693.538,11730.683,10941.875,9879.135,13797.106,10199.317,11501.346,10845.75,10928.721
601.627,11294.688,9534.923,10414.8055,138.656,10391.798,20964.51,23224.635,14316.904,10148.519,11049.24,12696.356,11668.24,11728.577,10959.558,9895.596,13826.231,10205.587,11502.135,10793.76,10935.779
601.755,11269.097,9481.529,10375.313,141.226,10382.981,20978.356,23227.779,14302.587,10093.875,10982.385,12673.635,11652.933,11709.385,10902.971,9868.019,13788.231,10178.452,11440.462,10773.24,10911.087
601.883,11297.269,9548.904,10423.086500000001,141.366,10410.115,21019.731,23279.692,14386.404,10167.519,11052.49,12736.74,11723.462,11777.25,10988.683,9915.365,13836.827,10232.394,11533.029,10853.663,10950.365
602.012,11160.226,9463.163,10311.694500000001,145.14,10322.933,20883.317,23118.74,14307.433,10058.029,10960.269,12654.058,11659.096,11645.0,10873.471,9812.029,13747.577,10132.712,11390.827,10763.875,10870.558
602.14,11252.634,9558.894,10405.764,141.323,10465.587,21044.808,23153.51,14362.971,10162.712,11056.375,12725.481,11751.375,11776.798,10964.577,9918.942,13852.26,10234.087,11521.827,10873.087,10985.644
602.268,11261.161,9528.538,10394.8495,143.839,10426.433,21023.106,23149.673,14392.394,10163.183,11047.798,12753.087,11705.894,11778.356,10973.913,9892.615,13807.356,10217.856,11493.788,10856.462,10964.144
602.396,11384.075,9651.087,10517.581,138.978,10540.721,21191.933,23326.298,14545.356,10266.394,11194.606,12860.788,11859.337,11918.567,11098.038,9990.529,13935.308,10372.683,11622.788,10981.481,11098.865
