lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
587.277,10437.624,9104.327,9770.9755,164.28,9634.404,18123.692,21366.375,12318.135,9083.913,10439.24,11839.837,11042.865,10432.173,9650.385,9254.808,13598.058,9766.865,11454.99,10103.337,10150.952
587.405,10411.0,9129.644,9770.322,155.075,9621.817,18116.5,21419.673,12301.154,9074.721,10461.481,11820.644,11049.212,10426.413,9649.0,9235.096,13620.769,9806.173,11421.038,10089.471,10157.288
587.533,10497.559,9165.202,9831.3805,156.871,9711.202,18158.769,21394.375,12371.173,9114.567,10475.923,11885.346,11102.385,10478.125,9683.481,9296.125,13683.971,9863.692,11476.288,10138.606,10219.154
587.662,10508.699,9210.846,9859.7725,151.946,9721.798,18230.837,21549.731,12404.827,9194.298,10538.231,11946.856,11148.644,10529.25,9766.298,9333.587,13681.548,9871.452,11525.913,10198.952,10273.788
587.79,10449.28,9162.192,9805.736,148.366,9665.558,18185.788,21432.875,12351.221,9101.942,10507.654,11877.769,11094.096,10476.635,9713.798,9280.721,13654.76,9812.99,11473.74,10175.817,10242.923
587.918,10439.398,9170.452,9804.925,154.376,9716.087,18217.221,21436.26,12357.779,9139.837,10512.952,11912.317,11128.74,10491.125,9698.327,9286.385,13677.558,9818.837,11465.327,10160.74,10232.192
588.046,10421.0,9137.837,9779.4185,148.624,9662.75,18180.385,21384.712,12327.144,9111.423,10454.125,11860.827,11086.904,10464.019,9689.288,9263.413,13614.212,9827.24,11450.712,10136.635,10214.413
588.174,10475.376,9170.74,9823.058,159.667,9686.221,18265.779,21397.433,12346.712,9149.615,10503.702,11915.375,11132.712,10496.452,9717.173,9291.538,13650.596,9858.279,11456.115,10176.202,10240.125
588.302,10443.419,9159.606,9801.5125,144.129,9668.644,18230.5,21387.327,12374.173,9161.029,10492.615,11886.067,11123.712,10497.365,9706.317,9282.096,13635.317,9837.779,11487.471,10188.413,10238.096
588.43,10477.237,9154.365,9815.801,157.57,9689.481,18231.327,21412.356,12355.24,9135.904,10514.288,11919.173,11138.337,10495.606,9721.058,9294.029,13630.144,9862.173,11466.327,10163.952,10252.058
588.558,10479.71,9183.067,9831.3885,147.516,9710.798,18221.683,21405.231,12375.298,9181.096,10544.317,11959.74,11144.875,10549.692,9747.01,9306.163,13620.721,9871.481,11487.25,10169.769,10260.125
588.687,10502.419,9219.827,9861.123,150.065,9741.962,18213.51,21485.413,12367.837,9171.788,10516.663,11923.942,11177.394,10551.269,9744.048,9311.587,13655.692,9890.673,11485.587,10231.962,10285.125
588.815,10465.376,9183.817,9824.5965,166.624,9707.433,18275.058,21364.423,12344.606,9165.317,10496.462,11940.567,11145.337,10508.615,9770.76,9306.385,13648.971,9863.856,11446.135,10215.269,10281.952
588.943,10517.624,9174.827,9846.2255,156.14,9715.779,18217.49,21383.731,12356.865,9168.663,10516.692,11935.317,11165.25,10547.712,9752.106,9328.288,13610.413,9859.183,11460.702,10202.048,10262.298
589.071,10491.559,9159.337,9825.448,157.613,9691.519,18248.442,21400.231,12358.885,9129.788,10475.5,11935.875,11148.933,10525.558,9762.067,9271.288,13627.808,9826.49,11459.51,10177.933,10254.154
589.199,10473.677,9147.702,9810.6895,148.366,9715.058,18244.471,21454.24,12372.154,9160.567,10504.721,11957.144,11194.74,10538.279,9787.942,9284.942,13610.885,9867.433,11463.538,10203.067,10264.51
589.327,10469.462,9175.923,9822.692500000001,148.935,9694.327,18219.644,21426.51,12355.942,9132.817,10454.327,11928.529,11175.481,10527.048,9714.404,9290.808,13603.712,9893.683,11459.106,10164.654,10243.0
589.455,10514.14,9224.702,9869.420999999998,157.817,9783.154,18241.904,21458.837,12407.288,9245.25,10542.423,12004.885,11233.567,10607.788,9839.471,9382.087,13640.606,9943.462,11503.077,10264.221,10314.029
589.583,10466.796,9184.24,9825.518,153.108,9691.615,18258.087,21398.538,12347.923,9171.856,10463.644,11928.058,11188.567,10557.827,9744.067,9314.317,13603.144,9873.606,11452.067,10193.529,10260.202
589.712,10479.376,9176.663,9828.0195,147.183,9719.308,18279.163,21434.404,12350.423,9163.865,10478.923,11884.99,11144.885,10552.548,9766.471,9285.375,13560.5,9831.971,11419.0,10202.192,10244.875
589.84,10437.656,9143.712,9790.684000000001,146.387,9691.654,18216.692,21359.096,12290.702,9127.587,10435.769,11903.288,11157.75,10512.231,9736.731,9279.221,13529.163,9868.433,11414.923,10165.567,10204.673
589.968,10453.86,9128.567,9791.2135,153.011,9694.423,18212.49,21322.212,12332.135,9140.567,10439.327,11894.856,11157.019,10534.654,9761.74,9277.154,13525.567,9833.423,11402.817,10170.529,10252.837
590.096,10469.473,9172.385,9820.929,151.559,9714.231,18253.856,21458.779,12328.837,9165.567,10465.413,11950.99,11154.442,10530.721,9763.394,9300.048,13582.087,9862.673,11429.942,10187.875,10250.808
590.224,10477.237,9156.413,9816.825,153.118,9690.385,18259.788,21447.452,12298.288,9123.702,10437.692,11915.375,11176.163,10523.644,9728.567,9259.308,13577.067,9848.01,11409.423,10167.202,10243.596
590.352,10497.366,9206.663,9852.014500000001,174.774,9771.144,18318.788,21472.067,12383.596,9197.788,10485.712,11997.625,11225.135,10623.192,9815.029,9345.971,13593.452,9900.462,11456.202,10230.365,10329.779
590.48,10470.28,9147.308,9808.794000000002,151.505,9679.529,18246.356,21380.558,12301.933,9132.827,10432.423,11924.808,11169.212,10542.712,9735.827,9272.923,13540.375,9866.125,11387.875,10183.606,10253.288
590.608,10429.355,9142.442,9785.8985,145.892,9680.779,18205.51,21377.192,12311.615,9133.0,10416.529,11944.731,11170.356,10519.548,9734.087,9280.596,13534.327,9823.779,11389.865,10156.029,10235.615
590.737,10450.043,9153.096,9801.5695,163.581,9739.183,18267.154,21311.096,12324.731,9171.135,10471.885,11943.125,11182.317,10584.163,9754.942,9256.99,13555.433,9870.567,11393.125,10179.933,10243.519
590.865,10567.935,9245.981,9906.957999999999,150.097,9798.692,18302.269,21427.952,12409.779,9270.827,10495.808,11986.875,11257.077,10657.529,9865.202,9354.125,13603.356,9944.5,11479.404,10254.317,10358.288
590.993,10417.57,9069.644,9743.607,148.624,9667.865,18211.596,21254.538,12287.231,9118.365,10383.192,11926.019,11113.788,10500.385,9731.673,9219.481,13458.981,9802.106,11331.702,10165.962,10187.596
591.121,10446.505,9136.51,9791.5075,152.882,9710.74,18275.144,21418.74,12274.413,9154.394,10443.135,11932.837,11171.577,10579.279,9757.125,9297.0,13509.356,9856.971,11346.962,10183.24,10276.308
591.249,10413.774,9085.567,9749.6705,145.989,9713.144,18236.558,21328.76,12294.962,9147.279,10384.952,11900.904,11144.01,10550.538,9750.788,9262.673,13482.721,9837.721,11371.644,10150.865,10232.606
591.377,10450.914,9099.096,9775.005000000001,151.57,9725.385,18279.712,21331.654,12314.375,9132.346,10425.058,11944.183,11171.721,10531.404,9781.606,9226.462,13494.394,9844.894,11354.212,10191.019,10228.067
591.505,10528.419,9203.625,9866.022,147.409,9772.135,18350.538,21413.837,12398.471,9211.587,10522.721,12039.212,11255.856,10689.692,9887.298,9397.981,13586.173,9955.115,11447.087,10281.644,10350.99
591.633,10441.817,9118.788,9780.3025,152.226,9692.798,18245.615,21325.0,12318.115,9158.231,10415.337,11938.173,11163.019,10573.26,9800.144,9263.192,13465.471,9841.212,11342.837,10180.99,10255.356
591.762,10437.581,9135.202,9786.3915,146.204,9702.115,18242.952,21421.798,12341.596,9157.923,10427.327,11971.163,11194.192,10552.038,9788.183,9243.606,13453.548,9848.529,11337.798,10196.942,10264.779
591.89,10436.71,9130.538,9783.624,154.935,9686.538,18282.221,21361.731,12300.731,9173.202,10440.673,11974.308,11186.144,10584.058,9825.817,9297.231,13478.173,9863.462,11335.75,10179.442,10242.471
592.018,10557.301,9248.144,9902.7225,156.516,9810.01,18371.567,21475.644,12411.567,9270.548,10533.663,12074.894,11267.654,10689.183,9886.029,9354.24,13591.163,9940.587,11441.433,10294.663,10390.817
592.146,10479.097,9180.087,9829.592,152.785,9756.029,18330.144,21422.788,12337.442,9178.76,10443.298,12000.625,11201.923,10602.019,9802.048,9274.673,13518.894,9896.5,11372.404,10231.394,10294.26
592.274,10463.699,9131.269,9797.484,154.355,9719.0,18272.875,21398.625,12339.24,9178.923,10446.808,11999.952,11217.24,10634.481,9848.529,9304.442,13506.5,9883.029,11362.721,10234.971,10304.856
592.402,10450.656,9111.038,9780.847000000002,141.172,9710.962,18265.25,21387.529,12333.385,9194.702,10427.788,11995.125,11213.875,10622.721,9820.5,9277.279,13490.567,9884.442,11331.519,10182.606,10284.125
592.53,10651.989,9310.885,9981.437,145.882,9926.317,18512.798,21557.606,12535.01,9370.865,10597.971,12175.865,11398.865,10835.375,10006.663,9474.067,13694.375,10061.596,11487.615,10365.394,10494.337
592.658,10513.957,9264.106,9889.031500000001,143.075,9812.606,18392.538,21444.596,12431.769,9254.644,10510.683,12118.096,11306.308,10692.663,9888.471,9358.404,13570.067,9966.817,11405.904,10298.856,10361.76
592.787,10516.398,9209.596,9862.997,154.043,9766.125,18379.981,21460.635,12426.135,9288.779,10514.721,12051.567,11287.288,10707.337,9908.538,9358.337,13592.798,9967.356,11373.971,10294.837,10339.385
592.915,10563.398,9261.49,9912.444,164.462,9877.894,18401.462,21444.202,12455.567,9317.712,10546.529,12129.606,11349.673,10786.202,9956.731,9410.856,13605.962,10033.865,11462.346,10346.75,10395.481
593.043,10488.925,9161.769,9825.347,136.054,9764.192,18322.654,21369.923,12361.25,9209.51,10448.587,12057.24,11297.077,10639.596,9858.24,9294.74,13503.808,9896.192,11351.231,10247.279,10284.865
593.171,10525.946,9233.519,9879.7325,148.086,9804.433,18458.202,21417.865,12455.625,9262.26,10494.625,12152.923,11332.24,10721.096,9904.933,9363.365,13582.788,9958.683,11384.346,10288.529,10389.106
593.299,10496.785,9209.346,9853.0655,140.312,9801.308,18428.644,21470.885,12402.163,9281.144,10512.212,12131.971,11307.702,10706.452,9887.971,9379.702,13598.952,9966.663,11400.231,10309.635,10351.942
593.427,10507.269,9207.529,9857.399000000001,149.495,9796.75,18404.433,21448.433,12397.962,9278.99,10481.019,12126.808,11296.606,10690.731,9913.952,9337.24,13589.817,9973.394,11347.519,10295.712,10377.288
593.555,10513.667,9233.74,9873.7035,145.806,9822.577,18471.692,21530.404,12459.337,9303.288,10505.385,12147.49,11377.106,10754.125,9954.26,9382.096,13568.346,9996.577,11397.635,10320.365,10377.154
593.683,10525.763,9254.683,9890.223000000002,143.054,9839.856,18435.548,21504.538,12482.106,9278.442,10516.731,12166.288,11345.144,10742.481,9944.587,9400.644,13626.942,9983.202,11391.144,10326.952,10345.615
593.812,10573.699,9249.067,9911.383,140.086,9823.779,18511.933,21490.654,12493.635,9327.029,10519.5,12209.481,11363.5,10811.51,9967.5,9407.096,13616.154,10021.337,11400.115,10338.558,10413.26
593.94,10563.29,9254.76,9909.025000000001,142.022,9832.452,18569.971,21503.606,12464.404,9316.606,10537.885,12206.221,11414.231,10830.279,9991.298,9391.548,13638.048,10025.154,11415.019,10375.577,10416.673
594.068,10557.645,9269.721,9913.683,153.398,9879.115,18547.26,21490.587,12502.452,9350.096,10536.856,12242.25,11433.154,10818.096,9994.423,9417.865,13673.077,10035.01,11429.269,10415.692,10454.135
594.196,10564.215,9253.625,9908.92,142.656,9857.971,18568.192,21593.894,12483.5,9316.837,10539.567,12253.462,11387.596,10821.413,9973.423,9388.51,13639.087,10022.058,11407.635,10339.606,10439.971
594.324,10572.731,9275.433,9924.082,144.473,9891.712,18553.337,21429.702,12558.192,9377.019,10581.962,12275.481,11468.375,10886.808,10020.635,9449.115,13652.067,10060.058,11452.981,10428.846,10483.058
594.452,10771.688,9506.875,10139.281500000001,146.409,10056.279,18797.885,21753.865,12711.25,9590.654,10794.279,12454.462,11663.933,11031.99,10251.442,9650.019,13898.048,10243.721,11611.538,10608.933,10674.25
594.58,10641.376,9382.75,10012.063,140.075,9920.154,18696.077,21575.26,12616.529,9448.346,10663.615,12370.885,11539.192,10940.019,10102.577,9514.462,13749.308,10157.923,11507.404,10493.25,10549.375
594.708,10697.011,9372.298,10034.6545,144.914,10001.481,18726.356,21616.962,12666.875,9456.615,10676.673,12425.913,11565.798,10971.538,10144.933,9530.519,13790.721,10189.0,11516.644,10513.923,10594.327
594.837,10641.806,9396.202,10019.004,147.527,9959.394,18752.125,21589.087,12640.817,9481.058,10707.356,12376.394,11545.654,10975.779,10164.827,9491.115,13740.462,10133.452,11479.856,10512.163,10566.721
594.965,10749.849,9469.894,10109.871500000001,154.484,10059.212,18845.24,21736.163,12744.606,9563.288,10758.394,12514.606,11681.192,11077.692,10230.558,9630.058,13867.798,10265.548,11608.442,10621.029,10655.269
595.093,10683.473,9408.644,10046.0585,138.452,9990.885,18808.5,21661.01,12691.837,9483.74,10720.769,12455.971,11629.788,11027.962,10182.577,9575.548,13779.308,10194.51,11589.452,10581.375,10619.865
595.221,10744.086,9474.49,10109.288,142.839,10071.058,18946.923,21833.875,12770.817,9559.74,10807.125,12570.875,11731.144,11085.24,10240.808,9645.481,13898.769,10287.192,11653.567,10623.788,10697.125
595.349,10740.925,9457.587,10099.256,145.258,10082.683,18935.077,21726.029,12772.519,9558.558,10751.24,12560.798,11690.673,11099.923,10239.923,9603.596,13868.375,10262.029,11628.567,10620.683,10723.702
595.477,10766.946,9484.26,10125.603,147.462,10088.5,18922.394,21693.067,12783.942,9608.019,10767.067,12572.827,11755.029,11113.894,10248.962,9614.183,13930.856,10266.481,11641.519,10652.673,10684.952
595.605,10775.538,9505.375,10140.4565,155.882,10062.529,19011.337,21818.846,12807.538,9581.75,10827.952,12624.404,11727.096,11110.26,10301.163,9675.673,13898.269,10305.625,11653.038,10650.817,10726.971
595.733,10757.387,9517.49,10137.4385,143.29,10095.673,18993.462,21760.894,12824.913,9591.26,10810.115,12609.462,11760.163,11178.529,10285.0,9661.231,13921.837,10327.471,11656.135,10679.567,10755.288
595.862,10792.667,9530.981,10161.824,145.86,10110.125,19031.01,21781.317,12860.308,9647.404,10854.952,12660.202,11784.971,11178.827,10357.856,9660.971,13923.567,10329.0,11711.962,10726.952,10759.269
595.99,10833.247,9558.577,10195.912,148.204,10138.76,19054.058,21813.25,12844.452,9676.471,10898.731,12658.817,11807.202,11219.481,10361.317,9713.462,13968.413,10373.625,11696.962,10716.346,10759.942
596.118,10854.731,9588.298,10221.514500000001,141.828,10167.606,19088.885,21834.442,12914.173,9705.5,10911.452,12720.913,11857.673,11265.51,10398.413,9733.567,14002.067,10398.096,11710.26,10792.769,10812.788
596.246,10911.419,9623.923,10267.671,146.72,10231.26,19190.0,21887.394,12951.231,9779.202,10976.798,12770.644,11950.25,11317.462,10449.769,9811.279,14051.548,10451.096,11821.635,10846.087,10903.817
596.374,10859.204,9590.731,10224.967499999999,158.032,10156.481,19095.337,21839.317,12855.212,9688.615,10880.192,12683.096,11882.51,11219.058,10401.212,9713.288,13988.769,10392.365,11732.385,10754.673,10834.135
596.502,10874.742,9593.635,10234.1885,160.108,10187.212,19143.346,21807.904,12920.702,9743.76,10965.856,12734.99,11912.51,11270.029,10421.798,9757.712,14030.202,10419.635,11783.163,10766.981,10870.423
596.63,10911.699,9596.115,10253.907,144.473,10222.5,19173.798,21880.567,12932.279,9729.029,10950.308,12726.837,11916.385,11293.788,10435.644,9772.365,13989.288,10429.356,11806.183,10805.933,10851.779
596.758,10885.978,9604.615,10245.2965,148.247,10188.923,19163.962,21837.692,12938.231,9695.894,10923.933,12761.635,11929.904,11311.538,10436.654,9767.423,13999.673,10410.24,11757.894,10812.356,10868.183
596.887,10897.548,9577.087,10237.317500000001,139.86,10199.635,19186.971,21943.51,12958.644,9742.163,10977.817,12797.837,11956.356,11300.798,10440.26,9739.663,14020.308,10437.106,11790.279,10833.471,10850.942
597.015,10884.28,9564.192,10224.236,151.172,10206.529,19257.163,21799.846,12937.125,9710.779,10975.212,12817.817,11959.462,11300.49,10468.798,9776.462,13985.894,10472.106,11801.404,10857.115,10881.058
597.143,10911.914,9595.058,10253.486,150.129,10214.596,19220.654,21929.942,12978.365,9751.769,10992.173,12814.038,11977.885,11355.154,10499.519,9805.279,14008.154,10457.606,11819.154,10858.721,10875.865
597.271,10896.57,9639.635,10268.1025,149.559,10219.356,19217.404,21849.577,12978.183,9781.279,10976.962,12798.5,11984.183,11336.76,10488.817,9793.808,14000.75,10458.788,11819.827,10839.058,10914.798
597.399,10948.742,9666.606,10307.673999999999,140.441,10283.894,19322.413,21939.538,13036.567,9825.288,11045.731,12873.846,12057.654,11439.875,10563.567,9830.115,14078.337,10516.144,11828.635,10929.721,10996.356
597.527,10903.183,9628.846,10266.014500000001,155.29,10215.25,19287.99,21822.337,12984.904,9804.433,10978.529,12832.606,12010.788,11372.769,10531.51,9828.51,14024.087,10486.923,11821.606,10905.606,10920.26
597.655,10936.892,9646.808,10291.85,139.538,10259.606,19261.462,21980.01,13019.452,9798.481,10992.087,12794.827,11991.827,11378.49,10544.798,9831.529,14040.471,10477.202,11828.192,10876.827,10959.635
597.783,10926.903,9650.913,10288.908,143.441,10279.548,19294.212,21881.596,13045.202,9822.173,11016.317,12873.962,12023.913,11437.202,10565.24,9835.625,14076.798,10526.385,11845.135,10903.654,10969.615
597.912,10926.409,9656.356,10291.3825,142.118,10270.606,19293.26,21935.885,13030.49,9830.433,11005.913,12845.125,12021.0,11372.019,10543.519,9828.231,14026.385,10502.702,11845.173,10915.163,10962.087
598.04,10994.118,9696.865,10345.4915,148.183,10296.913,19262.712,21935.663,13017.308,9826.423,11044.625,12866.923,12092.577,11448.173,10588.019,9866.846,14078.615,10548.279,11881.904,10939.144,10987.115
598.168,10911.43,9636.606,10274.018,145.462,10257.433,19273.288,21929.087,13001.5,9789.481,10988.154,12845.24,12049.519,11425.558,10567.74,9809.038,14029.51,10512.308,11801.683,10896.702,10953.346
598.296,10894.29,9607.481,10250.8855,139.688,10228.788,19234.702,21815.615,12945.673,9766.952,10982.087,12831.942,11969.356,11375.596,10564.683,9817.058,14003.404,10433.125,11758.471,10880.202,10917.029
598.424,11076.731,9801.202,10438.966499999999,150.28,10421.49,19394.423,22017.712,13161.26,9997.933,11167.24,12982.673,12208.135,11585.01,10717.058,9979.596,14188.029,10655.615,11926.683,11058.846,11133.644
598.552,10906.527,9647.317,10276.921999999999,142.054,10247.423,19202.471,21914.846,12956.663,9822.5,10990.462,12836.788,12004.99,11384.981,10594.26,9800.798,13987.202,10493.269,11794.654,10892.385,10933.404
598.68,10914.559,9691.587,10303.073,139.828,10246.558,19240.635,21924.135,12996.471,9828.298,11018.375,12859.471,12047.779,11424.981,10586.558,9850.625,14021.837,10540.587,11811.615,10911.702,10970.904
598.808,10995.151,9717.529,10356.34,138.903,10276.51,19303.692,21941.0,13070.452,9868.644,11052.74,12980.923,12125.519,11507.971,10689.202,9897.01,14051.529,10574.635,11846.317,10958.779,11006.673
598.937,10909.925,9662.106,10286.0155,142.452,10247.952,19230.702,21843.692,12953.952,9800.279,11004.01,12880.99,12054.606,11423.413,10600.077,9833.192,13991.49,10530.038,11793.087,10920.442,10984.5
599.065,10923.903,9678.952,10301.4275,158.656,10264.596,19215.231,21920.433,12959.183,9857.923,11007.923,12870.519,12073.827,11450.875,10586.51,9847.529,13997.99,10524.0,11761.865,10896.971,10978.74
599.193,10987.194,9677.26,10332.226999999999,148.763,10315.837,19271.942,21889.183,13039.712,9875.337,11055.962,12935.125,12126.683,11498.192,10653.058,9914.404,14014.212,10579.625,11839.548,11005.221,11013.125
599.321,10975.699,9692.75,10334.2245,143.355,10313.058,19268.317,21918.962,13013.663,9880.981,11056.538,12962.269,12106.038,11477.404,10647.269,9900.298,14019.865,10516.106,11794.106,10982.221,10993.462
599.449,10888.957,9631.654,10260.3055,140.398,10243.452,19187.5,21817.163,12986.615,9818.163,10997.317,12880.365,12024.462,11456.25,10580.606,9842.981,13966.01,10512.452,11763.452,10900.74,10944.25
599.577,10922.473,9639.413,10280.943,139.688,10233.413,19202.788,21833.942,12964.279,9833.24,10995.548,12883.519,12041.894,11422.24,10607.798,9817.24,13936.24,10501.433,11728.846,10901.462,10944.019
599.705,10918.774,9664.99,10291.882,147.946,10227.615,19166.779,21809.25,12995.308,9842.875,10987.49,12888.971,12043.404,11482.192,10622.692,9862.519,13942.692,10537.635,11752.731,10932.606,10980.596
599.833,10905.215,9640.577,10272.896,148.978,10209.788,19166.731,21811.904,12973.76,9820.692,10958.808,12874.279,12004.673,11414.519,10596.731,9816.779,13894.731,10492.846,11719.327,10874.683,10940.779
599.962,10871.892,9624.558,10248.225,142.785,10196.692,19159.173,21838.0,12918.827,9783.51,10943.788,12823.663,12008.76,11389.26,10584.731,9806.952,13881.692,10450.933,11682.788,10845.75,10908.548
600.09,10889.312,9629.308,10259.310000000001,141.269,10251.75,19204.106,21847.731,12991.337,9839.019,10991.779,12879.731,12047.385,11420.317,10601.808,9822.452,13902.923,10485.702,11703.471,10900.288,10972.913
600.218,10853.591,9625.231,10239.411,145.677,10213.635,19170.135,21826.74,12935.452,9839.346,10955.24,12892.654,12034.24,11446.971,10594.087,9806.904,13909.01,10493.231,11669.471,10910.673,10964.952
600.346,10839.968,9613.837,10226.9025,144.484,10191.038,19169.115,21841.519,12967.327,9785.558,10964.865,12859.462,12046.663,11431.356,10604.25,9796.413,13908.462,10473.51,11705.279,10867.683,10927.067
600.474,10852.29,9598.865,10225.5775,135.839,10178.298,19130.538,21751.038,12954.173,9807.163,10938.817,12856.058,12036.067,11418.385,10595.827,9788.702,13885.952,10451.683,11623.365,10869.76,10920.067
600.602,10829.667,9588.538,10209.1025,142.978,10176.471,19155.865,21754.221,12914.26,9780.0,10917.635,12848.904,11994.125,11406.798,10569.385,9760.51,13833.173,10473.481,11611.413,10834.808,10874.856
600.73,10813.215,9597.25,10205.2325,147.624,10211.192,19144.846,21827.529,12921.317,9806.221,10895.096,12852.192,12033.567,11412.923,10607.058,9785.346,13826.365,10486.904,11643.433,10858.779,10908.808
600.858,10840.065,9592.76,10216.4125,146.237,10187.337,19183.933,21849.462,12947.25,9787.308,10938.846,12871.394,12017.577,11441.731,10620.337,9800.24,13846.625,10468.865,11628.029,10887.577,10905.221
600.987,10864.677,9639.096,10251.8865,135.516,10257.375,19280.365,21803.798,13015.24,9863.212,10983.413,12943.5,12078.712,11493.529,10684.25,9851.135,13959.413,10537.308,11710.894,10914.183,10974.308
601.115,10873.839,9598.51,10236.174500000001,140.978,10245.231,19156.933,21758.106,12962.288,9821.087,10956.558,12894.538,12063.99,11434.087,10589.913,9805.231,13831.788,10473.394,11647.106,10891.154,10880.904
601.243,10944.204,9658.856,10301.529999999999,145.753,10277.981,19282.692,21795.202,13042.606,9878.019,11005.635,12987.317,12105.212,11496.519,10693.49,9880.183,13893.885,10557.067,11704.856,10948.769,10993.404
601.371,10923.118,9703.885,10313.5015,147.333,10272.144,19290.125,21855.712,13049.327,9902.827,11036.644,12967.173,12125.327,11516.51,10719.625,9903.279,13977.279,10578.51,11704.471,10998.538,11024.365
601.499,10884.538,9694.423,10289.480500000001,136.441,10255.971,19278.837,21799.163,13064.183,9914.423,11036.125,13006.731,12113.019,11533.433,10699.913,9893.269,13966.346,10550.75,11718.288,10968.952,10996.288
601.627,10885.645,9649.712,10267.6785,138.656,10267.433,19325.01,21844.279,13040.904,9887.942,11026.125,13004.625,12138.452,11536.375,10708.663,9831.558,13905.327,10514.644,11704.644,10936.212,10975.808
601.755,10845.86,9659.019,10252.4395,141.226,10253.019,19309.817,21853.279,13012.029,9838.663,10971.173,12983.942,12130.019,11505.808,10691.933,9837.163,13877.769,10528.76,11635.865,10906.048,10953.298
601.883,10920.333,9677.192,10298.7625,141.366,10293.548,19336.913,21894.846,13090.173,9887.933,11034.808,13022.337,12182.231,11569.865,10707.029,9878.837,13909.519,10561.692,11710.923,11013.875,11037.404
602.012,10802.398,9600.673,10201.5355,145.14,10162.096,19269.385,21760.817,12960.0,9808.481,10924.288,12933.683,12034.183,11487.25,10679.115,9772.269,13835.202,10446.558,11614.856,10898.279,10924.587
602.14,10901.387,9677.375,10289.381000000001,141.323,10309.683,19336.894,21834.558,13082.567,9932.0,11052.606,13079.048,12186.125,11564.269,10754.894,9881.356,13952.327,10580.683,11709.115,10992.183,11052.038
602.268,10879.118,9663.538,10271.328000000001,143.839,10267.74,19363.481,21778.096,13037.942,9905.538,11064.173,13043.51,12151.721,11518.135,10708.077,9856.596,13922.673,10619.183,11668.01,10961.221,11024.875
602.396,11002.538,9795.413,10398.9755,138.978,10409.615,19512.558,21926.663,13180.385,10026.144,11148.231,13198.663,12283.327,11671.413,10848.25,9951.375,14049.404,10685.269,11798.962,11136.433,11128.644
602.524,10890.29,9660.394,10275.342,148.763,10292.644,19400.952,21866.644,13122.625,9923.942,11048.76,13095.721,12189.981,11574.24,10750.5,9884.279,13939.221,10582.115,11716.231,10988.885,11052.087
602.652,10987.613,9743.115,10365.364,141.667,10353.558,19598.288,21993.163,13197.827,10023.577,11143.923,13177.75,12270.923,11676.587,10815.173,9935.923,14008.817,10662.231,11798.221,11076.087,11130.413
