Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1940;3.641260;3.428330;3.295720;2.359270;4.365352
1950;2.391502;2.888347;3.582253;3.687752;3.645607
1960;3.929425;4.513611;3.327162;3.864545;3.363247
1970;3.429452;3.835125;3.547066;2.696373;3.236229
1980;3.620430;2.625579;3.198207;2.877502;3.737350
1990;3.186430;3.920610;4.429996;3.353260;3.412021
2000;3.337182;3.096565;3.633660;3.767570;3.383404
2010;3.000475;3.030765;2.431350;3.389752;2.817139
2020;1.793359;3.992120;3.881252;3.573007;3.341483
2030;2.919555;3.654850;2.980657;3.782071;2.363630
2040;3.131868;2.443632;4.492640;3.802555;2.557807
2050;3.844920;3.436984;3.203389;2.472614;4.293628
2060;2.520970;3.432234;3.112437;3.879628;2.570688
2070;2.648804;2.679727;2.777500;3.776344;3.277509
2080;2.061469;3.694835;2.569866;3.145120;2.155231
2090;2.670808;2.261115;4.202775;3.398950;2.689480
2100;2.864028;3.474122;3.458351;3.073424;3.073895
2110;2.335685;2.205253;3.530384;2.971879;2.445501
2120;2.330949;3.249627;2.589033;3.413286;3.718055
2130;2.949790;2.802413;2.139317;2.661268;2.721317
2140;3.295621;3.463530;1.955509;3.100068;2.921494
2150;3.384479;2.735184;1.709633;3.542911;3.601238
2160;3.180991;2.559704;3.380574;2.415190;2.255330
2170;2.995639;2.049985;2.439329;3.599058;2.349148
2180;2.625084;2.505957;1.413576;2.734565;2.322047
2190;2.966365;3.214818;2.500374;2.654616;2.129938
2200;2.662874;2.732358;2.758157;3.357569;2.533524
2210;2.921388;1.833158;2.731322;2.227935;3.226433
2220;2.843838;2.450442;2.346532;1.479970;2.580744
2230;3.534757;2.607434;2.782381;2.010654;2.536230
2240;3.508166;2.106103;3.159454;2.105691;3.380005
2250;2.745031;3.916786;2.645363;2.692813;1.820796
2260;1.960315;2.436477;0.960656;2.941207;2.757032
2270;2.232752;3.012309;3.389395;1.875624;2.471283
2280;3.919437;2.240154;2.412974;2.568180;2.788394
2290;2.524292;2.289351;2.566118;1.980969;1.751813
2300;2.468458;2.159229;1.543374;3.364137;2.566765
2310;1.447764;1.931838;1.911722;2.119409;3.410325
2320;3.177445;1.634539;1.810940;1.620869;1.712359
2330;2.843747;2.427618;0.772911;2.963685;1.938864
2340;2.518961;1.739786;2.050517;1.924890;3.011904
2350;3.081174;2.634604;2.019025;1.622147;3.179074
2360;2.346192;2.315550;3.389587;2.620980;0.640954
2370;1.348120;1.532642;2.781746;1.507324;1.790080
2380;3.063469;2.243348;2.213117;1.910843;2.027611
2390;3.147593;2.247060;2.439795;2.201017;2.051360
2400;1.722619;2.297788;2.432036;1.691878;2.379634
2410;2.423952;2.257892;1.795134;2.410630;1.844035
2420;2.715523;1.174459;2.018737;2.645838;1.332320
2430;1.988943;2.317675;2.533505;2.979705;1.992464
2440;1.795379;2.240294;2.497143;1.915866;1.645224
2450;1.146966;1.119873;2.181458;2.685017;2.657917
2460;2.256808;1.836704;1.804078;2.326054;2.816350
2470;1.222860;1.514363;2.509476;1.812000;2.320981
