Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1280;4.464335;4.066063;3.999954;3.939960;3.593238
1290;4.106382;4.385452;3.375081;3.747301;3.826960
1300;4.080791;2.621097;3.379459;3.711489;4.377313
1310;4.180183;3.729325;3.518885;3.756934;4.071553
1320;4.056293;4.213029;3.271138;3.361109;3.163179
1330;4.072788;3.368547;3.356957;3.921213;3.598696
1340;3.407722;3.995602;4.050569;3.538125;3.084842
1350;4.506855;3.745267;2.960928;3.756981;3.812708
1360;3.153033;3.550114;2.608943;4.563782;3.519938
1370;3.720757;3.737923;3.831661;3.987485;3.331411
1380;3.555390;3.433000;3.617440;3.986650;4.473241
1390;3.924007;2.976328;3.485689;3.818264;3.886621
1400;3.942752;3.643711;3.771402;3.487645;3.520807
1410;3.149377;3.464129;3.672028;3.293692;3.032998
1420;4.259239;3.335224;2.933037;2.847797;3.830943
1430;3.262304;3.350593;3.193735;3.119431;2.928407
1440;3.165170;2.808098;3.402855;4.097502;2.342580
1450;3.307116;3.723045;3.706007;2.956723;2.500179
1460;2.638017;3.567069;3.334707;2.884658;4.084542
1470;3.517189;3.687819;3.575734;3.616536;3.237982
1480;3.061852;3.392043;3.189974;3.525500;3.252867
1490;2.573941;2.794270;2.799904;3.286329;3.245737
1500;3.078906;3.793966;3.190770;2.610140;3.054292
1510;3.464493;3.230633;3.173802;2.927195;2.789099
1520;3.412666;3.249182;2.555779;2.649206;3.304348
1530;2.658728;3.622054;3.003753;2.832396;3.242286
1540;2.307581;3.637835;2.944198;3.253488;2.681481
1550;2.928349;2.069577;3.333024;2.518642;2.462941
1560;3.332061;3.000271;3.582924;4.308208;2.744887
1570;3.451870;2.857598;2.364081;3.009935;3.170195
1580;3.056264;3.191453;2.812120;2.698716;2.215568
1590;2.837390;3.199427;2.997314;2.664567;2.822564
1600;2.696367;3.102042;2.700776;3.023171;3.083547
1610;3.081762;3.139021;3.489130;3.376060;3.087539
1620;2.873954;2.400536;3.133637;2.753357;2.606525
1630;2.905058;2.398019;2.676318;2.370220;2.836905
1640;2.623911;2.272762;2.786647;2.727809;2.886776
1650;2.911665;2.500884;2.070929;2.514128;3.007885
1660;2.877893;2.665308;2.692648;2.452232;2.156661
1670;2.968456;2.458806;2.507228;2.524747;1.830308
1680;2.271877;2.535160;2.322513;2.257542;3.047023
1690;2.873293;2.967641;3.026965;3.035825;2.303687
1700;2.702779;2.625758;2.156025;2.806943;2.678772
1710;2.441954;2.190223;2.334841;2.109018;2.679964
1720;2.802965;2.416735;2.235727;2.537035;3.174417
1730;2.858924;2.881724;2.609096;2.505245;2.539986
1740;1.436514;2.021861;2.636482;2.375975;1.774662
1750;1.940381;2.504990;1.564295;3.256017;2.571336
1760;2.618623;2.526664;1.885107;2.747866;1.683289
1770;1.774951;2.743950;2.086584;2.455544;2.720556
1780;2.667851;2.492693;3.131636;2.315551;2.713654
1790;2.425875;1.262456;2.268994;2.016585;2.540875
1800;2.336247;2.594345;2.253237;2.486719;2.893931
1810;2.639094;2.561755;2.639475;2.034760;2.195428
1820;2.768118;2.134021;2.344342;2.216992;2.771960
1830;2.834666;2.295967;2.435735;2.158301;2.639173
1840;2.423610;2.444690;2.110390;2.401693;2.618598
1850;2.055126;2.184490;2.324441;2.273537;1.179892
1860;2.333152;1.846473;2.146060;2.086043;2.187735
1870;2.315610;2.473540;2.409671;2.456252;1.812649
1880;2.286595;1.742940;2.296379;2.126004;1.895186
1890;2.130227;2.116237;2.262881;2.050630;2.327868
1900;2.724436;2.505569;2.067359;2.260569;1.635125
1910;2.423680;2.376395;2.378237;1.742027;2.243855
1920;1.414849;2.131298;1.942600;1.707998;2.394137
1930;1.974136;1.747472;2.651167;1.934248;2.293232
1940;2.188590;2.456742;2.379887;2.127014;2.212872
1950;1.769094;1.965098;2.418070;2.390873;1.576224
1960;2.100896;2.222550;2.072384;1.495891;2.146800
1970;1.688597;2.834712;2.200110;2.146631;1.955444
1980;2.531894;1.458735;1.524551;1.999839;1.929378
1990;1.529748;2.237208;1.727572;2.572731;1.986400
2000;2.387002;1.908872;1.472567;1.464732;2.200486
2010;2.544761;2.442080;2.802302;1.117937;2.137037
2020;2.113270;1.759693;1.985509;2.001189;1.703437
2030;1.513004;2.426740;1.938319;1.638343;1.086266
2040;1.383378;0.805610;1.741615;2.709902;1.917626
2050;1.680185;2.197627;1.758434;2.104166;2.010079
2060;2.101742;1.527366;1.733258;1.192970;1.525536
2070;2.182412;2.091325;1.512859;2.304861;1.656794
2080;1.972186;1.813642;1.629151;1.942758;2.023902
2090;1.744585;1.987606;1.388934;1.233189;1.970049
2100;1.449597;2.004149;1.543123;1.668765;1.920426
2110;2.415534;2.209373;1.923155;0.930921;1.906777
2120;1.312775;2.210413;1.483164;1.518905;1.497504
2130;2.305730;0.985069;1.645877;1.345422;1.786662
2140;1.582219;2.183514;1.753367;1.639181;1.765485
2150;1.421663;2.135075;2.434934;1.518141;1.633525
2160;1.124464;1.539747;1.903697;1.698731;0.938485
2170;1.566542;2.070615;2.210827;1.676266;1.560196
2180;2.239699;2.355218;1.533225;1.276458;1.202801
2190;2.087515;1.934698;1.957618;2.002842;1.298167
2200;1.761164;1.934859;1.267574;1.215465;2.563298
2210;2.091044;2.646196;2.027115;1.321303;2.175624
2220;1.535194;1.772820;2.214528;2.176121;2.036247
2230;1.833315;1.667618;1.676682;1.939874;2.177306
2240;2.036302;1.384999;1.476950;2.241056;1.797600
2250;1.517254;1.561425;2.044575;1.729754;2.257866
2260;2.420358;1.629631;1.329384;1.738630;1.809859
2270;1.532196;0.628793;1.494191;2.410593;2.341873
2280;2.306884;1.287917;2.105688;1.590762;1.515877
2290;1.539442;1.564594;1.413508;2.154567;1.823437
2300;1.027433;1.109179;2.055652;2.205228;2.084245
2310;2.307008;1.607373;0.795273;0.802116;1.149860
2320;1.953993;1.267711;1.926361;2.018621;1.275422
2330;1.795030;2.138238;1.316786;1.149337;1.783341
2340;1.545402;1.205685;1.637361;1.667653;2.334357
2350;2.222059;1.314694;1.627238;1.087637;1.670244
2360;1.402144;1.404655;1.301765;1.435399;1.895459
