lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
593.299,1545.34,102.876,3316.505,3315.649,3182.948,2145.639,2037.835,2070.691,2051.423,2218.247,2541.866,2207.093,1829.99,1917.948,1818.536,1930.814,1866.062,2085.144
593.427,1550.402,103.814,3316.134,3300.299,3186.608,2136.794,2031.825,2056.979,2042.763,2195.0,2528.309,2196.186,1825.093,1913.0,1802.577,1908.948,1870.959,2066.082
593.555,1541.206,102.763,3331.753,3321.32,3185.722,2149.0,2041.753,2055.557,2056.835,2225.505,2509.371,2199.031,1819.227,1926.825,1825.722,1924.753,1871.928,2065.515
593.683,1536.959,103.464,3345.557,3299.041,3201.907,2129.237,2036.948,2057.835,2045.649,2206.969,2546.794,2197.247,1817.278,1915.196,1806.402,1926.608,1872.103,2074.753
593.812,1547.629,103.021,3332.794,3334.175,3208.268,2146.0,2048.052,2060.186,2062.186,2216.608,2545.588,2215.505,1821.979,1910.113,1823.639,1932.485,1873.639,2074.732
593.94,1558.144,101.938,3341.175,3324.938,3212.062,2161.928,2057.505,2073.124,2065.361,2234.278,2567.392,2226.031,1846.928,1923.474,1830.289,1954.897,1885.103,2090.093
594.068,1558.371,102.814,3330.392,3329.124,3205.753,2171.845,2050.629,2085.876,2060.423,2230.66,2554.32,2237.845,1832.113,1918.052,1817.99,1938.289,1882.289,2087.66
594.196,1567.165,102.103,3323.34,3325.928,3186.093,2167.495,2071.021,2099.68,2094.093,2242.557,2580.67,2248.392,1850.495,1943.021,1840.392,1959.021,1893.887,2099.041
594.324,1560.186,103.701,3358.01,3349.113,3213.34,2172.392,2057.371,2083.763,2065.289,2237.33,2586.68,2236.804,1844.433,1932.021,1825.526,1954.124,1888.402,2083.866
594.452,1577.557,102.309,3548.309,3537.814,3421.99,2195.866,2080.464,2105.041,2100.794,2273.33,2622.887,2264.515,1874.216,1957.918,1854.835,1970.66,1907.165,2120.454
594.58,1569.763,104.134,3375.773,3373.979,3263.0,2183.722,2090.361,2112.619,2077.67,2250.68,2581.206,2273.722,1873.567,1950.753,1849.66,1960.742,1916.464,2117.381
