(benzonitrile)Wavelength (nm),(benzonitrile)Abs,(benzonitrile-13)Wavelength (nm),(benzonitrile-13)Abs,(benzonitrile-15)Wavelength (nm),(benzonitrile-15)Abs,(Toluene)Wavelength (nm),(Toluene)Abs,(Toluene-14)Wavelength (nm),(Toluene-14)Abs,
684,0.04834134504,684,0.007715914864,684,0.02148971707,684,0.03045660071,684,-0.0007384679629,
683,0.04830193892,683,0.007712779101,683,0.02146589011,683,0.03046734817,683,-0.000769167149,
682,0.04827986658,682,0.007690408733,682,0.02152711712,682,0.03043352813,682,-0.0008007943979,
681,0.04831588268,681,0.007782875095,681,0.02154477127,681,0.03048723005,681,-0.0007339714211,
680,0.04829201475,680,0.007724188734,680,0.02156781219,680,0.03044494055,680,-0.0007713377126,
679,0.04835937172,679,0.007679421455,679,0.02155078202,679,0.03050003015,679,-0.0007364006015,
678,0.04822684079,678,0.007712621242,678,0.02151778713,678,0.03050008602,678,-0.0007763506728,
677,0.04830584303,677,0.0077187079,677,0.02155320346,677,0.03041775897,677,-0.0007445666124,
676,0.04827512056,676,0.007764085196,676,0.02156963386,676,0.03044024669,676,-0.000829525583,
675,0.04832045361,675,0.007718154695,675,0.02161593921,675,0.03050641716,675,-0.0007519572973,
674,0.04824072495,674,0.007680106908,674,0.02156539075,674,0.03045940585,674,-0.0007933528977,
673,0.04837771505,673,0.007707403973,673,0.0215676222,673,0.03053921461,673,-0.0007662730641,
672,0.04829939455,672,0.007788356859,672,0.02158252895,672,0.03051208332,672,-0.0007590377354,
671,0.04830046371,671,0.007734412793,671,0.0215448793,671,0.03049689345,671,-0.0007433262654,
670,0.04830789939,670,0.007669910323,670,0.02154283971,670,0.0305506289,670,-0.0008101994172,
669,0.04834944755,669,0.007798160892,669,0.02162908018,669,0.03046257235,669,-0.0007604330895,
668,0.04825024307,668,0.007808149792,668,0.02159199677,668,0.03057387471,668,-0.0007168635493,
667,0.04828052968,667,0.007731593214,667,0.02152551152,667,0.0304933656,667,-0.0007380545139,
666,0.04823372513,666,0.007789833006,666,0.02151697129,666,0.03051549755,666,-0.0007523190579,
665,0.04829571769,665,0.007703372277,665,0.02153051645,665,0.03046837449,665,-0.0007964535034,
664,0.04829279706,664,0.007713991217,664,0.02147995122,664,0.03055965528,664,-0.0008198109572,
663,0.04820291698,663,0.007728404831,663,0.02148596384,663,0.0304349158,663,-0.0007881851052,
662,0.04829117656,662,0.007779923733,662,0.02154912241,662,0.03058965132,662,-0.0007151578902,
661,0.04817920178,661,0.007763373666,661,0.02147350647,661,0.03049853072,661,-0.000793817977,
660,0.0482179001,660,0.007713806815,660,0.0215012487,660,0.0306072887,660,-0.0007573838811,
659,0.04824532568,659,0.007697470021,659,0.02151664346,659,0.03052669019,659,-0.0008371731383,
658,0.0481932573,658,0.007800401188,658,0.02155219764,658,0.03057476506,658,-0.0007493214798,
657,0.04817174003,657,0.007792336401,657,0.02152967453,657,0.03053721599,657,-0.0007600196404,
656,0.04822764918,656,0.007811707444,656,0.02156413905,656,0.03056590445,656,-0.0007163466653,
655,0.04818012565,655,0.007814527489,655,0.02156615257,655,0.03052519076,655,-0.0008311791462,
654,0.04824376106,654,0.007850135677,654,0.02160900086,654,0.03061412089,654,-0.0007720096037,
653,0.04815528169,653,0.007835612632,653,0.02150652558,653,0.03051458113,653,-0.0008139200509,
652,0.04819395021,652,0.007811496966,652,0.02146923542,652,0.03058734536,652,-0.0007774359547,
651,0.04813636839,651,0.007810521405,651,0.02146281675,651,0.03053341061,651,-0.0008605800685,
650,0.0481829308,650,0.007864106447,650,0.0215632692,650,0.03059081733,650,-0.000795109896,
649,0.04815791547,649,0.007879078388,649,0.02155284956,649,0.03060906567,649,-0.0008056519437,
648,0.04819502309,648,0.007839513943,648,0.02157926559,648,0.03063100949,648,-0.0007910273853,
647,0.048112683,647,0.007852086797,647,0.02153916657,647,0.03060898371,647,-0.0008574281819,
646,0.04820349813,646,0.007957268506,646,0.02168279141,646,0.03066145629,646,-0.0007427576929,
645,0.04815753922,645,0.007901537232,645,0.02154496126,645,0.03058892861,645,-0.0008284921059,
644,0.0482243821,644,0.008047313429,644,0.02170036919,644,0.03061520495,644,-0.0006927769282,
643,0.04816155881,643,0.008012981154,643,0.02164978534,643,0.0306842085,643,-0.0007293198141,
642,0.04817902669,642,0.008051585406,642,0.02168831415,642,0.0306637343,642,-0.0007121083327,
641,0.04813659936,641,0.008040009066,641,0.02168170363,641,0.03063448332,641,-0.0008249783423,
640,0.04819218814,640,0.008125771768,640,0.02177161723,640,0.0307020992,640,-0.0007047170075,
639,0.04820364341,639,0.008179263212,639,0.02174902894,639,0.03061609343,639,-0.0008093209472,
638,0.04824816063,638,0.008171929978,638,0.02183166146,638,0.03065023199,638,-0.0007309220382,
637,0.04821130633,637,0.008296502754,637,0.02181938477,637,0.03077567182,637,-0.0006523539196,
636,0.04822507501,636,0.00831167493,636,0.02183890156,636,0.03071296215,636,-0.0006947411457,
635,0.04821879789,635,0.008379017003,635,0.02182932012,635,0.0307117682,635,-0.0007296816329,
634,0.04824648052,634,0.008526590653,634,0.02195871808,634,0.03066551127,634,-0.0006202506484,
633,0.04822982103,633,0.008536938578,633,0.02187769488,633,0.03073604964,633,-0.000610686373,
632,0.048203554,632,0.008569465019,632,0.02185164206,632,0.0306554269,632,-0.0006277467473,
631,0.04825414717,631,0.008740318008,631,0.02189062536,631,0.03074230254,631,-0.0006193717709,
630,0.04825619981,630,0.008793409914,630,0.02185798436,630,0.03066956811,630,-0.0005518487305,
629,0.04825848714,629,0.008921755478,629,0.02191074379,629,0.03073530085,629,-0.0004920205101,
628,0.04825894907,628,0.00902703777,628,0.0220224373,628,0.03070079349,628,-0.0004272189108,
627,0.04827031866,627,0.009143766947,627,0.02203850448,627,0.03073035367,627,-0.000319522369,
626,0.04834264517,626,0.009303553961,626,0.02209471911,626,0.0306811519,626,-0.0002093670046,
625,0.04840888083,625,0.009411548264,625,0.02221896499,625,0.0308328066,625,-6.11901196E-5,
624,0.04834380373,624,0.009473637678,624,0.02218441851,624,0.03076152876,624,-3.939665839E-5,
623,0.04841828719,623,0.009579557925,623,0.02226405591,623,0.03078956529,623,3.776927042E-5,
622,0.04837644473,622,0.009704958647,622,0.02229495719,622,0.03073293902,622,6.378770922E-5,
621,0.04844537377,621,0.009869295172,621,0.02232727595,621,0.03079498559,621,2.107168984E-5,
620,0.04837623984,620,0.01006810647,620,0.02232002653,620,0.03073360585,620,-5.849834997E-5,
619,0.04848030582,619,0.01030708756,619,0.02233436145,619,0.03082266264,619,-7.506282418E-5,
618,0.04833515361,618,0.01054081507,618,0.02227353863,618,0.03077884018,618,-0.000198241265,
617,0.04842763394,617,0.01091167051,617,0.0223546382,617,0.03084561788,617,-0.0001661561255,
616,0.04840121418,616,0.0113216592,616,0.02234354615,616,0.03074935824,616,-0.0002460540854,
615,0.048491247,615,0.0118738357,615,0.02240356058,615,0.03086901829,615,-0.0002086942986,
614,0.0484091416,614,0.01226577535,614,0.02234237269,614,0.03081349283,614,-0.0002815480402,
613,0.04850531369,613,0.01286085416,613,0.02235687152,613,0.03089436702,613,-0.0002615248377,
612,0.04842442274,612,0.01343587041,612,0.02228787169,612,0.03085770644,612,-0.0003597177274,
611,0.04846328869,611,0.014120901,611,0.02234531753,611,0.03088861331,611,-0.0002758050687,
610,0.04847281054,610,0.01472707186,610,0.02238949575,610,0.03085120395,610,-0.0002847040887,
609,0.04844876006,609,0.0153096607,609,0.02236379497,609,0.03086787835,609,-0.0002365850669,
608,0.04845443368,608,0.01597125642,608,0.02235529199,608,0.03095004335,608,-0.0001077240377,
607,0.04846129194,607,0.01656264439,607,0.02238581702,607,0.03091979958,607,-6.730299447E-6,
606,0.04844172671,606,0.01702094078,606,0.02238924988,606,0.03089525551,606,8.35161627E-5,
605,0.04845145345,605,0.01737326011,605,0.02248274721,605,0.03083775379,605,0.0002391486341,
604,0.04841241241,604,0.01772586443,604,0.0224654898,604,0.03094206378,604,0.0004219390976,
603,0.048503723,603,0.01790211163,603,0.02255960368,603,0.03096402436,603,0.0006749313325,
602,0.04846450314,602,0.01787670329,602,0.02248053811,602,0.03097725846,602,0.0008809640422,
601,0.0483863391,601,0.01784981042,601,0.0225982964,601,0.03087655082,601,0.001173026394,
600,0.0484582819,600,0.01779249869,600,0.02271278389,600,0.03104503825,600,0.001519053592,
599,0.04841102287,599,0.01748581231,599,0.02273065038,599,0.03089286573,599,0.001772893826,
598,0.04842222109,598,0.01719558425,598,0.02291300707,598,0.0309673883,598,0.002190783853,
597,0.04834550992,597,0.01678289287,597,0.02302146517,597,0.0308640711,597,0.002577983541,
596,0.04841547832,596,0.01631019823,596,0.02314971574,596,0.03098598681,596,0.003003139747,
595,0.04837155342,595,0.01587407663,595,0.02335604094,595,0.03090423346,595,0.003435470164,
594,0.0484091714,594,0.01541358046,594,0.02365771681,594,0.03097803518,594,0.003860918572,
593,0.0483513847,593,0.01489573065,593,0.02395982109,593,0.0309231896,593,0.004191844258,
592,0.04847263917,592,0.01444355026,592,0.02448125929,592,0.03099224158,592,0.004584861454,
591,0.0483700484,591,0.01404587086,591,0.02499556541,591,0.03093136288,591,0.004828983452,
590,0.04848815128,590,0.0136834709,590,0.02580373921,590,0.03097025305,590,0.005031732842,
589,0.04845587909,589,0.0134283416,589,0.02695562318,589,0.03097425587,589,0.005212281831,
588,0.04851061106,588,0.01320124697,588,0.02837436646,588,0.0310255494,588,0.005193602759,
587,0.0484026596,587,0.01295949519,587,0.0301402621,587,0.03097867593,587,0.005021467339,
586,0.04854578152,586,0.0129307732,586,0.03264047578,586,0.03108096309,586,0.004884112161,
585,0.04852638766,585,0.01277508494,585,0.03575905785,585,0.03096232936,585,0.004564980045,
584,0.04855385795,584,0.01282848511,584,0.0396979861,584,0.0310028065,584,0.004231835715,
583,0.04852256551,583,0.01304927655,583,0.04465360567,583,0.03097400442,583,0.003917204682,
582,0.04858616367,582,0.0131957233,582,0.05064033717,582,0.03099238127,582,0.003616818227,
581,0.04851263762,581,0.01350545511,581,0.05769475922,581,0.03101214767,581,0.003279288299,
580,0.0485691987,580,0.01400651596,580,0.06582608074,580,0.03104164638,580,0.003142639063,
579,0.04853194579,579,0.01444293465,579,0.07435622066,579,0.03100080416,579,0.002834710525,
578,0.04861685261,578,0.01515802275,578,0.08322905004,578,0.03107759915,578,0.002824991941,
577,0.04855073243,577,0.01589104533,577,0.09161067009,577,0.03100747801,577,0.002713699592,
576,0.04866902903,576,0.01681394316,576,0.09909063578,576,0.03106708825,576,0.002784921322,
575,0.04863859713,575,0.01767296344,575,0.1046920046,575,0.0311133042,575,0.002891775686,
574,0.04870067909,574,0.0187883731,574,0.1085458025,574,0.03112612292,574,0.003079492599,
573,0.04865704104,573,0.0200055819,573,0.1102225706,573,0.03111864254,573,0.003311344422,
572,0.0486725606,572,0.02123072185,572,0.1100557148,572,0.0310639739,572,0.0036224043,
571,0.04875274748,571,0.02263363637,571,0.1083616763,571,0.03118285723,571,0.004139155149,
570,0.04866865277,570,0.02395869978,570,0.1051357388,570,0.03110218048,570,0.00464367494,
569,0.04877968132,569,0.0253192354,569,0.1007953808,569,0.03116327897,569,0.005349269137,
568,0.04882900789,568,0.02671460249,568,0.09538447857,568,0.03120791912,568,0.006224040873,
567,0.04875665531,567,0.02792461216,567,0.08909261972,567,0.03119462356,567,0.007098973263,
566,0.04881099239,566,0.02904195711,566,0.08256137371,566,0.03115657531,566,0.008116566576,
565,0.04880073667,565,0.03012450226,565,0.07617624849,565,0.03120210581,565,0.009425039403,
564,0.04878735542,564,0.03090951405,564,0.07008071244,564,0.0311394725,564,0.01081057359,
563,0.04876158014,563,0.03159187362,563,0.06465667486,563,0.03120649979,563,0.01246360876,
562,0.04883222282,562,0.03218539059,562,0.06007054076,562,0.03121453896,562,0.01429066248,
561,0.04883848131,561,0.03244590014,561,0.05620146543,561,0.03129487485,561,0.01633226499,
560,0.04884934425,560,0.03263363987,560,0.05316447467,560,0.03122243844,560,0.01839199103,
559,0.04883700237,559,0.0325159207,559,0.05106143653,559,0.0312403515,559,0.02070597559,
558,0.04879775643,558,0.03223351017,558,0.04937101528,558,0.03116266616,558,0.02300334163,
557,0.04887164757,557,0.03180146962,557,0.04846713692,557,0.03120202199,557,0.02542351931,
556,0.04884931445,556,0.0311966259,556,0.04840726033,556,0.03117445856,556,0.02779701352,
555,0.04885861278,555,0.03047995456,555,0.04880974814,555,0.03127773851,555,0.03012455814,
554,0.04897067696,554,0.02969025634,554,0.04971886799,554,0.03132506087,554,0.03232675418,
553,0.04891913384,553,0.02879119851,553,0.05117873102,553,0.03134000301,553,0.03402581066,
552,0.04884928465,552,0.0277433116,552,0.05289586261,552,0.03125464916,552,0.03540799767,
551,0.0489439033,551,0.02676134743,551,0.05518976226,551,0.03143488988,551,0.03645910695,
550,0.0489439629,550,0.02566182241,550,0.05757734925,550,0.03125261888,550,0.03687050566,
549,0.04902712628,549,0.02455003373,549,0.06042968854,549,0.03135992214,549,0.03680696338,
548,0.04892860726,548,0.02332307212,548,0.06380688399,548,0.03136334568,548,0.03617629036,
547,0.04896114394,547,0.02219343744,547,0.06759820879,547,0.03137500584,547,0.03518371284,
546,0.04896236211,546,0.02110132389,546,0.07183337212,546,0.03125186637,546,0.03382244334,
545,0.04898171872,545,0.01998037286,545,0.07634453475,545,0.03133362904,545,0.03221912682,
544,0.0489942655,544,0.01903552748,544,0.08091097325,544,0.0313943699,544,0.03042328358,
543,0.04901793972,543,0.01801366918,543,0.08518819511,543,0.03136184439,543,0.02838478424,
542,0.04899777099,542,0.01716385968,542,0.08908327669,542,0.03136139736,542,0.0264040567,
541,0.04903767258,541,0.01643465646,541,0.09239365906,541,0.03137578443,541,0.0243354477,
540,0.04905790463,540,0.01580021903,540,0.09506306052,540,0.03141919523,540,0.02225484699,
539,0.04910100251,539,0.01510937419,539,0.09693007171,539,0.0314385891,539,0.02014080808,
538,0.0491056107,538,0.01455060858,538,0.09814266115,538,0.03144738451,538,0.0181766469,
537,0.04907940701,537,0.01409458835,537,0.0984763056,537,0.03141095489,537,0.01618591323,
536,0.04907453805,536,0.01367227733,536,0.09803234786,536,0.03140046448,536,0.01437943429,
535,0.04906610399,535,0.01333020721,535,0.09692841768,535,0.03138407692,535,0.0127168661,
534,0.04904787615,534,0.0130144665,534,0.09499681741,534,0.0314142406,534,0.01126214769,
533,0.04916807637,533,0.01288709231,533,0.09257170558,533,0.03140233085,533,0.009963709861,
532,0.04911885411,532,0.01273768395,532,0.08959084004,532,0.03144262359,532,0.008783821017,
531,0.04917285964,531,0.01264484972,531,0.0862994045,531,0.03140992671,531,0.007840515114,
530,0.04911294207,530,0.01247852761,530,0.08245441318,530,0.03145815432,530,0.00688805012,
529,0.04920788109,529,0.01251976937,529,0.07840251923,529,0.03145904467,529,0.006294343621,
528,0.04921892658,528,0.01249078289,528,0.07417331636,528,0.03153249621,528,0.005653164349,
527,0.04922411591,527,0.01242871303,527,0.0698229894,527,0.03149408475,527,0.005093828309,
526,0.04921530187,526,0.01235541236,526,0.065594621,526,0.03150713816,526,0.004663167521,
525,0.04919732735,525,0.01241355576,525,0.06160481647,525,0.03144257143,525,0.004295829684,
524,0.04923664033,524,0.0123815937,524,0.05781087279,524,0.03154285252,524,0.004016578663,
523,0.04932913929,523,0.01247956697,523,0.05439576879,523,0.03154496849,523,0.003938833252,
522,0.04927320406,522,0.0123445997,522,0.0510580577,522,0.03156089038,522,0.003785524983,
521,0.04920005053,521,0.01226811856,521,0.04807867482,521,0.03143391386,521,0.003657905385,
520,0.04929216579,520,0.0123047065,520,0.04556236416,520,0.0315997526,520,0.003689337056,
519,0.04926810041,519,0.0122012347,519,0.04329119995,519,0.0314572081,519,0.003743276931,
518,0.04932563007,518,0.0121068377,518,0.04136291891,518,0.03161041439,518,0.003826915519,
517,0.0493012704,517,0.01200463809,517,0.03962597996,517,0.0315628089,517,0.00386410486,
516,0.04938357696,516,0.01193023846,516,0.03827507421,516,0.03158945218,516,0.003949987236,
515,0.04936191067,515,0.01176735479,515,0.03713601083,515,0.03156745806,515,0.004024599213,
