Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1420;1.246468;0.895186;1.358282;1.086765;0.564675
1430;1.479328;1.170742;1.390454;1.106646;0.879595
1440;1.030246;1.509666;1.256978;0.818431;0.974952
1450;0.571943;0.826150;1.290135;0.758625;0.938028
1460;1.173935;1.366957;0.972459;1.165737;0.890662
1470;1.144818;0.707576;1.184235;0.916031;1.255308
1480;0.694442;1.102082;0.799708;0.953443;0.618116
1490;0.758237;0.857190;1.056910;1.036331;1.350125
1500;0.903066;0.768640;0.606177;1.116972;0.956563
1510;0.649417;0.626473;1.210681;1.156488;0.750211
1520;0.892844;0.990294;1.145835;0.711397;1.032867
1530;0.750625;1.053756;1.075348;0.362472;0.775915
1540;0.629413;0.883996;1.309801;1.032715;0.738040
1550;1.234702;1.151868;0.514338;0.958775;0.815103
1560;0.496543;0.638022;0.777880;1.170179;1.016130
1570;0.681913;1.256657;1.233000;0.989315;0.856809
1580;0.839318;0.987830;0.915048;0.931151;1.337864
1590;0.693855;0.893391;0.721607;0.942451;0.750052
1600;1.065518;0.154277;1.078766;1.112881;1.110480
1610;0.764483;0.436134;0.936745;0.771129;0.333412
1620;0.427890;0.750991;0.762746;0.482828;0.632474
1630;1.158032;1.099175;0.741665;0.989515;0.965188
1640;0.664141;0.948683;0.617187;0.452255;1.257928
1650;0.714741;1.225819;0.934636;0.791915;0.703299
1660;0.524151;0.749711;1.239603;0.740046;0.373093
1670;0.895692;0.761548;0.721639;0.960233;0.892846
1680;0.732044;0.183403;0.546360;0.758936;0.839604
1690;0.908334;0.631447;1.117892;1.310311;0.765343
1700;0.629376;0.969071;0.847045;0.352073;0.627638
1710;0.730074;0.480607;0.554285;0.864160;0.772629
1720;0.521561;0.709068;1.023562;0.452742;0.546801
1730;0.702112;0.403592;0.632150;0.196247;1.138863
1740;0.963393;0.340274;0.661004;0.652750;0.528925
1750;1.083674;0.407893;1.160108;0.361978;0.485656
1760;0.349859;0.734411;0.669384;1.368778;0.615156
1770;0.460798;0.881004;0.541854;0.561413;0.481794
1780;0.755491;0.966569;0.623434;0.505670;0.471313
1790;0.711411;0.418844;0.668966;0.371840;0.648589
1800;0.850974;0.956699;1.433172;0.751963;0.489832
1810;0.655990;0.882431;0.507833;0.755957;0.442763
1820;0.445581;0.681633;0.827445;0.811677;0.397262
1830;0.004798;0.835335;0.828749;0.584295;0.803318
1840;0.357976;0.568393;0.414382;0.328074;0.905107
1850;0.860564;1.021297;0.433757;0.305410;0.334447
1860;0.552911;0.557015;0.530806;0.725018;1.078143
1870;0.500505;1.140967;0.650233;0.852553;-0.225022
1880;0.315618;0.906131;0.655814;0.209418;0.610028
1890;0.877591;0.592691;0.468404;0.490274;0.427994
1900;0.592595;0.514971;0.076897;0.444525;0.698019
1910;0.480416;0.810876;0.746566;0.616563;0.422939
1920;0.581122;0.578060;0.377409;0.620548;0.320239
1930;0.514268;1.096087;0.693162;0.269619;0.621640
1940;0.380165;0.672912;0.596930;0.570855;0.586448
1950;0.728690;0.533486;1.057559;0.578216;0.353020
1960;0.340660;0.971171;0.278627;0.751748;0.723691
1970;0.581940;0.519011;0.735651;0.265640;0.745972
1980;0.586618;0.357776;0.719701;0.714296;0.379001
1990;0.680205;0.707157;0.211013;0.524831;0.158535
2000;0.263804;0.590449;0.531452;0.502589;0.608133
2010;0.500999;0.576182;0.563563;0.685103;0.745299
2020;0.738208;0.681491;0.380726;0.310984;0.489672
2030;0.188283;0.540931;0.128378;0.415343;0.582692
2040;0.521562;0.190424;0.376872;0.574608;0.529350
2050;0.627654;0.677949;0.179216;1.197894;0.266799
2060;0.684851;1.262263;0.521511;0.373546;0.503886
2070;0.276401;0.577341;0.634385;0.404047;0.569373
2080;0.627439;0.520954;0.942624;0.236129;1.107417
2090;0.363099;0.925246;1.087616;0.787781;0.566318
2100;0.166826;0.694064;0.593594;0.572716;0.677976
2110;0.660583;0.448595;0.703125;0.632820;0.292571
2120;0.319352;0.665769;-0.162619;0.205905;0.620040
2130;0.238704;0.395517;0.620282;0.349905;0.690287
2140;0.849290;0.335654;0.946011;0.899761;0.423749
2150;0.390062;0.167558;0.729681;0.640681;0.903087
2160;0.779407;0.691953;0.726208;0.680360;0.796963
2170;0.489840;0.159318;-0.033660;0.345244;0.288469
2180;0.463257;0.026261;0.472660;0.389544;0.540634
2190;0.287138;0.351957;0.483197;0.169555;0.413267
2200;0.464988;-0.332633;0.532870;0.653115;0.305436
2210;0.684637;0.695795;0.239940;0.038177;0.322607
2220;0.721392;0.286512;0.279438;0.923446;0.850589
2230;0.867555;0.461333;0.806251;0.543771;0.013406
2240;0.364628;0.657320;0.026006;0.055002;0.253184
2250;0.105074;0.785176;0.511535;0.788085;0.401901
2260;0.407064;0.503088;-0.049475;0.061352;0.146752
2270;0.578143;0.845197;0.620211;0.433803;0.256426
2280;0.215509;0.379657;0.785729;0.423570;0.557598
2290;0.783747;0.384858;0.699104;0.439892;0.178712
2300;0.229608;0.599606;0.570465;0.067620;0.502723
2310;0.415144;0.299203;0.345291;0.734287;0.547583
2320;0.429188;0.098865;0.575082;0.699128;0.850832
2330;0.260660;0.511972;0.127393;0.114026;-0.066362
2340;0.384618;0.623297;0.219146;0.254337;0.528525
2350;-0.163236;0.400842;0.135581;0.704335;0.241003
2360;0.608972;0.726665;0.117082;0.098970;0.256913
2370;0.551314;0.698533;0.393630;0.324383;0.477928
2380;0.174257;0.668005;0.360753;0.405608;0.118566
2390;0.160403;0.541875;0.196023;0.250146;0.365304
2400;0.054498;0.402140;0.523466;0.326645;0.701150
2410;0.470517;0.253759;0.531209;0.245992;0.197084
2420;0.313678;0.279353;0.391953;0.094807;1.022963
2430;0.292515;0.471949;0.463936;0.444625;0.263036
2440;0.403977;0.487444;0.572636;0.860518;0.140133
2450;0.212715;0.449868;0.413573;0.511834;0.212073
2460;0.569177;0.476194;0.448326;0.642110;0.962516
2470;0.272232;0.303224;0.578365;0.796829;0.080211
2480;0.601188;0.217496;0.681839;0.332968;-0.126117
2490;0.937489;0.673538;0.473273;0.362173;0.198588
2500;0.248602;0.491444;0.367094;0.626126;0.798837
2510;0.234181;0.400009;0.341205;0.397916;0.538072
2520;0.841485;0.785367;-0.088266;0.823332;0.163501
2530;1.004343;-0.010036;0.201127;0.523027;0.462191
2540;0.337978;0.343046;0.383792;0.275067;0.355266
2550;0.256039;0.146174;0.655487;0.239145;0.334338
2560;0.251980;0.366129;-0.151263;0.341259;0.375461
2570;0.342414;0.199462;0.035304;0.348247;0.017823
2580;0.286568;0.380054;0.506987;0.204930;0.187039
2590;0.375648;0.479456;0.435441;0.323756;0.789932
2600;0.311394;0.142419;0.232546;0.260788;0.077633
2610;0.146386;0.234617;0.181590;0.325814;0.496511
2620;0.293287;0.515625;0.285517;0.393901;0.050916
2630;0.416864;0.063378;0.572621;0.605558;0.564875
2640;0.325455;0.523400;-0.095206;0.447267;0.440042
2650;0.006688;0.306303;-0.030871;0.487024;0.068052
2660;0.330532;0.410138;0.408786;0.621287;0.666268
2670;0.456693;0.400989;0.489695;0.230971;0.467091
2680;0.243082;0.369165;0.401647;0.333963;0.557863
2690;0.758805;0.310113;0.433314;0.418723;0.100475
2700;0.458980;0.675047;0.359397;0.430846;0.474498
2710;0.229282;0.725097;0.606262;0.436183;0.674880
2720;0.462229;0.404345;0.544937;0.494962;0.347470
2730;1.106469;0.630735;0.561687;0.795330;0.611221
2740;0.313396;0.535959;0.329479;0.575436;0.815985
2750;0.794593;0.542754;0.512275;0.087969;0.330542
2760;0.423409;0.246937;0.572218;-0.171487;0.593225
2770;0.188133;0.642167;0.184327;0.532086;0.621937
2780;-0.090687;0.397657;0.443133;0.255555;0.761412
2790;0.592572;0.353917;0.661646;0.249413;0.554184
2800;0.526902;0.593187;0.334709;0.653269;0.303431
2810;0.406855;0.355811;0.597158;0.152563;0.109458
2820;0.877205;0.552261;0.706689;0.422093;-0.153363
2830;0.482905;0.460358;-0.253844;0.700905;0.620621
2840;0.432916;0.787479;0.253797;0.458050;0.096737
2850;0.495245;0.154652;-0.045481;0.399241;0.203206
2860;0.060341;-0.009436;0.229344;0.573936;0.132445
2870;0.176101;0.139746;0.982356;0.601390;0.515144
2880;0.365462;0.240829;0.460727;0.443460;0.906076
2890;0.596726;0.273632;0.028431;0.382964;0.255501
2900;0.797048;0.356037;0.451295;0.663911;-0.018481
2910;-0.046314;0.401745;0.708816;0.394440;0.238264
2920;0.432004;0.411497;0.704735;0.345840;0.095628
2930;0.543990;0.471057;0.104955;0.180772;0.155586
2940;-0.026229;0.521522;0.503910;0.513160;0.947011
2950;0.266491;0.402983;0.391111;0.420555;0.541401
2960;0.093842;-0.154820;0.241604;0.232416;0.417332
2970;0.473280;0.542181;0.592608;0.737668;0.233530
2980;0.305096;0.316505;0.544479;0.617246;0.396988
2990;0.398989;0.552305;0.047420;0.377151;0.541130
3000;0.189134;0.350750;0.555484;0.267656;0.337042
3010;0.470884;0.699027;0.655949;0.159676;0.159722
3020;0.642489;0.313169;0.513184;0.551311;0.208294
3030;0.099569;0.922259;0.149377;0.293370;0.850119
3040;0.059242;0.632592;0.679069;0.202985;-0.313348
3050;0.200994;0.700127;0.423440;0.208074;0.480128
3060;0.326845;0.055431;0.572458;0.495231;-0.075422
3070;0.442536;0.507783;0.454743;0.329044;0.407417
3080;0.252359;0.406068;0.355114;0.310656;-0.177768
3090;0.078215;0.530623;0.117809;0.280174;0.575584
3100;0.312997;0.671266;0.305583;0.483576;0.343737
3110;0.600411;0.571094;0.202041;0.295659;0.446597
3120;0.645103;0.373932;0.225479;0.456374;-0.215097
3130;0.182934;0.445683;0.340847;-0.300578;0.279273
3140;-0.091816;0.163079;0.325485;0.598814;0.199777
3150;0.370313;0.408027;-0.076652;0.028679;0.463667
3160;0.407667;-0.022650;0.341290;-0.116572;0.462832
3170;0.430133;0.648099;0.688768;0.029322;0.368708
3180;0.303455;0.209486;0.590082;0.426428;0.203755
3190;0.618258;0.381449;0.036747;0.511813;0.444613
3200;0.526314;0.024534;0.352261;0.455059;0.878101
3210;1.069516;0.051586;-0.030432;0.607890;0.444032
3220;0.556794;-0.148460;0.340364;0.597416;0.140323
3230;0.372497;0.865877;0.003801;0.230382;0.538618
3240;0.337741;0.685666;0.107060;-0.043410;0.235794
3250;0.208358;1.133638;0.099455;0.178982;0.209681
3260;0.187430;0.205690;0.227584;0.143040;0.355271
3270;0.910700;0.329599;0.051959;0.647120;0.307842
3280;0.446855;0.294071;0.041824;0.565220;0.339784
3290;0.077752;0.356309;0.237153;-0.063914;0.417055
3300;-0.093627;0.389452;0.214128;0.026236;0.054514
3310;0.611097;0.298304;0.642439;0.246338;0.388812
3320;0.395216;0.523971;0.511198;0.140208;0.478714
3330;-0.040378;0.479481;0.152241;0.354065;0.382974
3340;0.399907;0.496560;0.184625;-0.112115;0.157069
3350;0.426216;0.435579;0.480794;0.300701;0.098833
3360;0.099651;0.397186;-0.112290;0.725770;0.490348
3370;0.307815;0.526357;0.422464;0.165664;0.500377
3380;0.099665;0.209542;0.066016;-0.064837;0.364810
3390;0.269677;0.635612;0.750676;0.156072;0.094911
3400;0.222702;0.302797;0.211117;0.569164;0.329168
3410;0.113745;0.531531;0.334994;0.258894;-0.042977
3420;0.556499;0.255113;0.431340;0.106076;-0.401480
3430;0.808176;0.593611;0.078699;0.333706;0.574454
3440;0.178623;0.661572;0.263395;0.320179;0.464888
3450;0.256338;0.431473;0.395459;0.066277;0.001282
3460;0.156618;0.546780;0.056478;0.335686;0.329610
3470;0.354040;-0.105164;0.254166;0.273107;0.582033
3480;0.118649;0.291214;-0.097089;0.437640;0.492388
3490;0.592977;0.006260;0.432723;0.012237;0.719665
3500;0.362211;0.505676;0.383201;0.343694;0.494432
3510;0.380913;0.694852;0.268423;0.339201;0.476653
3520;0.225233;0.440646;0.799341;0.577818;0.251590
3530;0.187871;0.270234;0.290543;0.114498;0.400233
3540;0.466004;0.372549;-0.038704;-0.088732;0.174730
3550;0.218611;0.341982;0.385349;-0.003860;0.571872
3560;0.467319;-0.063731;0.288782;0.241937;0.396144
3570;0.285172;0.231324;0.509321;0.366692;0.338656
3580;0.464018;0.413673;0.557121;0.396012;0.483328
3590;0.122410;0.156304;0.383877;0.200505;0.494580
3600;0.438765;0.319324;0.301214;0.546155;0.235489
3610;0.658938;0.271156;0.205548;0.217167;-0.033270
3620;0.349032;0.296273;0.267661;0.447141;0.348073
3630;0.317321;0.165665;0.230916;0.367237;0.197721
3640;0.318090;0.411232;0.124906;0.253534;0.048605
3650;0.511442;0.652982;0.331062;-0.030818;0.487435
3660;0.652122;0.214652;0.183832;0.101398;0.033278
3670;0.117258;0.496207;0.502787;0.488060;0.127261
3680;0.672015;0.236428;0.494481;0.364111;0.473334
3690;0.138643;-0.013736;0.374698;0.645949;0.550431
3700;0.356904;0.374524;0.154010;-0.251893;0.904585
3710;0.321244;0.424866;-0.050095;0.251139;0.585117
3720;0.683038;0.496778;0.190209;0.293261;0.349967
3730;0.377495;0.385783;0.263112;0.364467;0.300738
3740;0.333860;0.471902;0.389752;0.350783;0.131764
3750;-0.111627;0.515169;-0.050057;0.062656;0.240533
3760;-0.049103;0.440202;0.870307;0.517918;0.381752
3770;0.326735;0.449258;0.034878;0.495970;0.533655
3780;0.452479;0.161553;0.384800;0.201333;0.209208
3790;0.227802;0.359980;0.252830;0.205826;0.367802
3800;0.274662;0.471917;0.074130;0.187883;0.275069
3810;-0.005529;-0.089277;0.199751;0.180169;0.270731
3820;0.019660;0.137273;0.003169;0.559188;0.349301
3830;0.389984;0.503180;0.312512;0.556506;0.884509
3840;0.184170;-0.056792;0.341543;0.176938;-0.072273
3850;0.297431;0.056770;0.285225;0.182130;0.334578
3860;0.114293;-0.048077;0.100112;0.422890;0.238631
3870;0.405723;0.378998;0.458274;0.725754;0.194604
3880;0.553799;0.718003;0.605209;0.409964;0.028180
3890;0.250878;0.759260;0.081773;0.338640;0.462353
3900;0.397214;0.427036;0.211711;0.076008;0.432433
3910;-0.043030;-0.014365;0.540751;0.312462;0.604449
3920;0.752711;-0.041830;0.401789;0.155859;0.749389
3930;0.379142;0.488232;0.319399;0.357023;0.208141
3940;0.770984;0.263048;0.284572;0.376821;0.501713
3950;0.620195;-0.199974;0.044380;0.419680;0.204164
3960;0.182017;0.198034;0.249809;-0.128409;0.678708
3970;0.183410;0.302529;0.256807;0.159833;0.504483
3980;0.147672;0.353754;0.693503;0.109941;0.783908
3990;0.268256;0.055626;0.446346;0.275862;0.039049
4000;0.597550;0.498025;0.148299;0.016617;0.069089
4010;0.830198;-0.346333;0.378495;0.252700;0.603436
4020;0.108941;0.320131;0.327246;0.424339;0.236610
4030;0.084334;0.226310;0.216898;0.127135;0.269983
4040;0.427033;0.317816;0.182654;0.501539;0.442547
4050;0.238304;0.448079;0.617537;0.146382;0.660444
4060;0.269563;0.562286;0.090705;0.281813;0.316733
4070;0.457620;0.184570;0.628155;0.492740;0.260234
4080;0.095464;0.386502;0.257513;0.299802;0.390599
4090;0.204480;0.391034;-0.010151;0.544302;0.416989
4100;-0.001847;0.202738;0.396555;0.081863;-0.108055
4110;0.163304;0.413954;-0.241334;0.336224;0.140695
4120;0.466347;0.080070;0.436690;0.570977;0.065863
4130;0.421394;0.516108;0.200600;0.049279;0.086965
4140;0.182938;-0.113826;0.415519;-0.079951;0.284936
4150;0.195263;0.302851;0.537365;0.395704;0.159130
4160;0.045612;0.159550;0.044469;-0.031340;0.208782
4170;-0.017262;-0.071345;0.367337;0.156798;0.572322
4180;0.425451;0.395554;0.278121;0.376185;0.210724
4190;0.057330;0.047569;0.013979;0.759133;0.431280
4200;-0.305708;0.523149;0.081338;0.579976;0.470165
4210;0.525492;0.180325;0.320866;0.887451;0.042873
4220;0.282335;0.524597;0.382528;0.144568;0.361816
4230;0.054274;0.430131;0.770545;0.240670;0.751510
4240;0.578024;0.194655;0.076832;0.360795;0.499312
4250;0.013559;0.211759;0.465566;0.299759;0.698462
4260;0.203469;0.301216;0.338461;0.068464;0.202663
4270;0.372755;0.172249;-0.069238;0.537163;0.001279
4280;0.419868;0.646120;0.085175;0.651785;-0.015337
4290;0.349055;-0.610567;0.253544;-0.044822;0.511878
4300;0.086985;0.159787;0.055892;0.478368;0.421179
4310;0.543007;0.912058;-0.025411;0.155648;0.182866
4320;0.176963;0.608572;0.278151;0.034552;0.875079
4330;0.320460;-0.014413;0.493126;0.027527;0.272777
4340;0.727342;0.513973;0.283490;0.724718;0.131679
4350;0.245552;0.514745;0.069281;0.657232;-0.184703
4360;0.295326;0.733031;0.286560;0.460921;0.467446
4370;0.599246;0.289646;0.127716;0.110196;-0.066476
4380;-0.020978;0.242101;0.539280;-0.124318;0.640480
4390;0.436837;0.593879;-0.045091;0.303765;0.181067
4400;0.153774;0.503159;0.293866;0.140909;0.260628
4410;0.318452;0.392560;0.055893;0.186221;0.462466
4420;0.383990;0.484079;0.515149;0.513114;0.357557
4430;0.316015;0.373585;0.416787;0.323001;-0.020465
4440;0.493797;0.259234;0.974665;0.455918;0.251734
4450;0.197454;0.094225;0.061628;-0.005124;0.366891
4460;0.186399;0.190265;0.483999;0.046108;0.495940
4470;0.374198;-0.018213;0.593198;0.140976;0.175928
4480;0.521829;0.413964;0.355031;0.331647;0.339781
