lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
596.118,622.34,104.113,1428.887,1508.402,1533.66,916.289,896.443,938.629,944.474,1050.113,782.031,762.227,725.969,785.412,769.381,813.093,857.649,932.381
596.246,622.856,102.804,1438.928,1510.557,1550.722,916.66,898.732,951.093,953.897,1055.629,792.052,764.577,729.907,782.412,763.598,825.165,865.082,941.268
596.374,618.619,105.021,1432.907,1511.794,1550.835,914.691,914.608,947.454,936.866,1051.216,783.196,766.01,735.732,787.196,767.979,818.155,863.887,932.784
596.502,613.124,103.464,1446.227,1526.619,1542.959,918.567,906.268,954.825,950.103,1062.969,794.536,768.907,730.072,788.845,772.505,825.237,865.68,948.082
596.63,625.392,102.804,1468.804,1539.196,1564.351,931.887,907.825,945.835,952.784,1071.928,795.289,772.835,731.0,787.371,773.01,824.454,873.33,947.979
596.758,621.557,102.412,1436.082,1508.33,1554.969,919.763,911.124,953.01,960.856,1064.897,787.247,772.505,733.948,785.619,768.495,819.753,863.773,939.196
596.887,626.237,102.876,1443.701,1531.505,1553.423,927.093,910.804,967.031,956.113,1074.897,792.361,778.175,731.258,793.412,777.711,824.247,872.845,943.856
597.015,626.33,102.577,1442.907,1521.649,1562.454,925.485,916.052,955.454,962.031,1074.361,791.577,776.876,739.845,792.845,770.052,820.052,874.629,950.876
597.143,616.794,103.773,1453.124,1542.763,1563.856,914.711,912.206,951.093,956.443,1065.773,788.031,770.062,731.031,788.227,769.66,822.021,864.649,944.33
597.271,624.165,102.041,1447.299,1533.299,1562.124,924.258,909.588,948.928,960.753,1068.784,785.412,766.01,734.474,781.732,773.536,820.67,872.289,949.454
597.399,619.608,101.711,1468.763,1534.773,1559.536,933.32,915.247,962.258,957.361,1068.722,789.784,780.876,729.454,789.464,772.866,819.784,878.062,942.155
597.527,623.691,102.237,1447.175,1531.052,1554.237,936.258,917.381,956.165,961.557,1068.856,783.835,775.99,733.412,791.216,767.691,823.814,872.247,949.01
597.655,621.216,101.392,1448.835,1526.567,1546.959,928.588,916.608,964.423,967.66,1075.402,794.031,776.577,734.804,794.371,774.66,835.0,873.866,946.206
597.783,624.629,102.866,1448.196,1525.165,1551.134,925.485,915.68,961.021,956.649,1074.247,789.33,768.474,731.124,788.505,773.268,823.433,871.268,952.474
597.912,618.361,102.557,1455.443,1539.515,1569.423,928.608,914.216,962.918,970.021,1079.392,785.557,776.206,735.639,790.979,762.32,816.093,865.196,952.907
598.04,621.227,103.289,1467.804,1537.34,1566.639,934.66,913.588,963.866,965.639,1085.361,795.144,771.67,733.041,797.918,779.186,822.103,862.68,954.773
598.168,619.165,103.206,1460.495,1546.031,1575.876,922.392,916.423,953.443,962.639,1070.423,790.206,778.742,733.412,784.258,771.526,823.237,868.825,947.876
598.296,619.598,102.928,1465.155,1542.381,1564.412,924.567,917.887,954.856,960.082,1071.948,790.34,778.0,729.052,784.124,767.866,821.155,864.68,933.876
598.424,616.526,103.216,1453.134,1544.196,1561.103,926.711,911.33,956.639,957.928,1077.99,792.876,773.186,727.701,786.701,763.773,824.206,863.711,941.948
598.552,607.691,102.598,1467.052,1529.649,1576.938,922.309,916.835,947.825,958.918,1078.784,790.134,775.268,729.134,781.897,769.619,812.093,865.474,947.794
598.68,614.072,101.742,1454.845,1527.546,1563.206,916.474,917.216,955.093,963.938,1072.206,788.464,770.629,720.299,782.196,770.557,822.722,860.186,941.546
598.808,619.99,101.959,1457.804,1542.289,1563.959,934.371,921.577,958.918,966.041,1070.268,792.062,772.67,727.866,786.124,763.443,814.99,857.804,940.093
598.937,615.515,102.134,1458.103,1540.227,1571.165,926.588,925.979,973.876,966.701,1078.361,799.969,769.454,733.526,787.124,775.897,824.474,856.835,943.237
599.065,617.598,104.443,1470.639,1537.402,1555.897,931.392,921.155,956.959,970.608,1064.763,791.598,770.526,728.196,782.041,770.918,822.546,865.794,950.299
599.193,611.804,103.784,1464.464,1528.567,1572.021,933.031,911.814,967.784,963.711,1079.268,788.515,775.691,726.196,780.701,765.464,818.546,858.33,938.67
599.321,608.165,102.237,1457.866,1532.825,1566.01,918.68,905.68,945.495,956.784,1068.113,778.794,769.186,719.124,771.165,764.361,811.495,860.041,930.856
599.449,615.278,101.299,1461.887,1528.598,1565.351,932.124,914.505,967.103,966.186,1085.021,791.866,775.608,736.485,777.711,770.247,827.567,861.649,937.948
599.577,619.454,103.515,1462.691,1533.938,1557.371,932.01,914.0,955.701,954.763,1074.32,784.794,775.711,726.856,782.392,768.021,818.454,868.052,941.443
599.705,616.732,104.526,1457.361,1532.505,1557.041,929.196,912.464,955.103,954.454,1073.649,781.68,774.134,728.351,782.711,761.113,815.186,856.887,940.062
599.833,616.649,102.619,1464.825,1543.144,1565.588,927.227,922.629,963.835,966.062,1076.247,796.021,780.247,731.052,776.454,763.433,821.258,852.32,940.598
599.962,609.072,102.485,1460.381,1538.227,1566.289,925.649,916.938,958.742,965.186,1070.216,779.423,764.186,727.794,780.443,759.309,815.897,859.639,940.722
600.09,602.68,102.278,1458.247,1534.32,1573.515,925.866,919.433,966.928,960.876,1077.371,792.031,775.691,730.361,782.423,769.649,829.588,864.876,942.701
600.218,612.01,101.608,1477.402,1546.134,1568.165,931.629,915.309,966.814,960.876,1076.124,785.557,770.536,724.701,776.536,760.021,814.588,860.598,935.876
600.346,613.072,102.443,1462.619,1545.515,1572.175,938.124,914.649,959.742,956.928,1074.258,790.124,776.113,726.278,781.186,769.052,823.443,852.01,941.021
600.474,608.144,102.351,1469.505,1548.299,1566.052,928.784,915.381,955.144,960.485,1074.732,789.567,776.897,724.052,782.649,768.144,812.845,857.381,945.351
600.602,610.0,102.753,1472.309,1546.216,1572.567,945.124,917.464,963.093,970.763,1080.784,792.113,775.526,722.485,784.825,765.485,818.381,870.814,948.082
600.73,606.691,102.619,1479.33,1549.268,1577.598,939.515,923.196,960.979,969.979,1089.206,788.495,770.887,726.536,788.412,758.784,818.897,865.557,949.052
600.858,612.784,103.732,1481.845,1560.845,1587.68,932.021,924.082,968.619,972.361,1086.423,790.763,777.68,730.454,784.0,772.66,821.825,858.907,949.464
600.987,607.536,103.876,1486.784,1558.907,1574.134,932.041,927.175,964.753,968.34,1079.577,801.361,780.165,724.155,787.216,761.938,813.186,861.062,941.309
601.115,610.278,103.753,1472.381,1550.753,1577.433,933.041,928.557,966.34,971.124,1086.742,784.268,791.144,729.485,777.278,768.093,811.237,859.041,940.835
601.243,610.227,103.66,1489.577,1561.928,1595.031,936.588,927.969,960.639,961.928,1080.268,787.454,782.649,727.031,780.66,771.969,814.093,856.165,937.732
601.371,612.443,102.237,1487.835,1570.691,1607.938,937.392,926.876,968.773,972.866,1090.041,787.866,782.753,734.629,786.268,773.351,820.567,863.557,941.825
601.499,609.835,103.113,1487.165,1564.814,1595.845,948.381,930.134,973.402,979.619,1093.948,801.134,786.32,735.062,784.505,778.979,819.526,861.32,948.155
601.627,608.784,101.99,1493.33,1573.784,1597.351,944.021,927.474,975.412,965.124,1092.485,787.278,790.464,727.608,785.474,776.608,828.443,860.505,944.216
601.755,613.309,102.753,1497.649,1568.258,1595.711,950.773,945.278,980.392,986.608,1106.897,796.01,787.237,738.443,789.423,774.876,824.722,878.309,953.165
601.883,616.0,102.485,1511.629,1582.443,1599.443,952.866,941.608,981.32,980.546,1097.134,804.711,788.495,737.072,788.052,767.866,831.814,871.773,950.361
602.012,614.753,102.588,1508.567,1590.299,1620.134,961.701,942.33,980.959,988.598,1110.588,803.763,786.072,736.175,789.526,781.186,835.227,873.753,957.732
602.14,610.701,101.32,1515.113,1589.34,1615.866,955.907,944.216,985.928,984.258,1105.34,799.588,786.371,737.062,787.887,782.0,829.526,870.155,951.186
602.268,612.629,102.608,1511.804,1588.227,1623.227,955.938,949.299,985.701,987.742,1102.99,804.247,792.969,750.0,799.299,783.052,835.825,872.907,959.237
602.396,617.361,101.876,1522.082,1599.258,1629.691,961.371,950.608,991.68,995.062,1104.144,805.577,803.732,749.031,797.722,777.299,836.485,881.412,947.165
602.524,620.031,103.175,1528.062,1591.144,1621.763,967.907,952.753,994.186,997.876,1113.196,797.124,797.485,747.505,789.361,786.052,834.495,875.464,962.052
602.652,620.784,103.392,1539.062,1605.68,1640.443,972.814,955.278,1001.845,999.247,1119.825,812.649,800.794,752.278,801.639,785.361,841.814,882.093,967.608
602.78,616.536,102.804,1568.309,1635.67,1658.402,974.515,960.845,1002.134,999.99,1123.639,815.155,801.701,745.763,798.412,783.959,842.309,888.34,972.485
602.908,628.742,101.598,1540.753,1622.485,1640.082,978.082,967.99,1002.907,1008.237,1123.526,813.103,806.464,750.175,791.196,782.392,849.227,889.227,968.031
603.037,625.546,101.928,1559.722,1627.495,1661.041,978.309,968.412,1014.68,1014.639,1135.144,817.082,814.66,752.041,811.093,786.918,856.351,892.639,977.361
603.165,626.938,101.474,1554.0,1634.206,1659.701,980.474,968.907,1006.247,1011.546,1143.268,825.082,810.34,764.722,808.68,793.67,846.948,886.01,978.093
603.293,625.515,103.072,1561.32,1641.701,1670.691,983.361,979.598,1020.412,1011.835,1157.464,832.268,820.567,763.072,809.206,801.361,861.113,903.227,986.402
603.421,630.134,102.856,1556.196,1629.113,1663.01,983.155,983.876,1017.464,1018.32,1148.062,828.32,817.68,764.216,817.979,805.825,859.0,904.32,986.278
603.549,625.402,101.619,1567.041,1642.361,1679.361,987.99,975.412,1016.99,1020.041,1143.072,818.845,816.753,763.464,804.206,799.773,850.99,891.34,991.052
603.677,631.485,102.237,1575.371,1660.32,1689.938,993.433,986.557,1027.887,1030.773,1159.794,825.608,823.103,770.309,811.206,805.99,861.093,912.546,993.701
603.805,625.443,102.052,1585.536,1654.021,1678.639,996.031,986.887,1026.062,1026.021,1150.206,827.763,820.701,763.258,817.763,804.021,862.814,899.536,984.433
603.933,634.309,101.969,1593.979,1678.423,1705.433,1003.423,989.196,1038.66,1032.814,1160.619,833.165,825.144,769.546,817.907,813.186,867.103,908.062,996.175
604.062,633.598,102.814,1601.938,1673.557,1703.526,998.485,998.433,1032.433,1036.825,1168.155,829.062,834.845,770.175,824.577,807.392,865.33,904.433,1001.206
604.19,642.454,103.134,1601.959,1682.433,1711.433,1015.227,994.629,1046.722,1051.052,1177.196,841.732,832.918,782.216,829.113,813.897,874.814,918.01,1007.845
604.318,636.062,103.351,1622.567,1702.722,1723.392,1011.804,1001.701,1043.804,1048.113,1171.34,844.918,839.505,778.464,825.845,822.814,867.247,906.062,1012.124
604.446,648.804,103.381,1611.495,1697.381,1722.845,1019.515,1009.093,1061.031,1043.897,1185.732,849.062,838.619,775.144,841.402,815.01,888.082,917.0,1005.66
604.574,643.124,103.299,1623.691,1687.897,1728.753,1010.423,1005.701,1048.103,1055.041,1179.66,840.165,837.268,771.526,837.216,824.351,875.928,915.0,1011.897
604.702,645.495,101.99,1627.629,1710.567,1730.175,1029.423,1015.629,1061.804,1053.577,1190.67,844.68,842.773,784.031,832.928,819.948,881.784,915.309,1009.773
604.83,644.485,103.567,1628.691,1714.732,1722.072,1021.99,1013.536,1056.907,1061.691,1192.402,844.845,847.072,784.959,845.639,825.392,879.464,919.526,1010.155
604.958,649.918,102.32,1652.526,1727.804,1751.01,1033.443,1030.928,1071.32,1071.649,1206.742,848.866,851.423,787.062,840.361,820.701,887.093,931.381,1021.784
605.087,647.608,102.052,1651.66,1735.423,1753.763,1041.371,1036.361,1074.062,1081.959,1211.536,862.443,855.144,794.134,848.577,840.165,886.825,934.918,1025.34
605.215,650.381,102.216,1657.722,1751.423,1768.722,1044.691,1046.536,1078.732,1081.289,1206.711,859.835,855.103,795.423,844.062,832.361,899.691,939.237,1029.021
605.343,650.546,103.206,1663.773,1769.402,1764.804,1045.526,1035.206,1075.68,1078.33,1213.928,850.485,858.031,792.392,839.474,836.155,896.01,934.701,1033.691
605.471,672.897,102.825,1664.918,1731.464,1772.68,1052.835,1041.33,1094.588,1090.423,1228.237,872.402,866.196,813.175,859.0,840.546,907.845,952.124,1042.144
605.599,650.309,102.557,1683.691,1762.258,1777.392,1044.278,1036.175,1091.381,1086.216,1227.216,862.464,864.784,800.412,857.206,836.021,901.66,936.979,1040.515
605.727,649.887,102.979,1684.052,1758.948,1784.526,1051.474,1049.381,1087.412,1093.072,1228.247,863.144,863.948,802.505,859.392,830.113,893.546,949.742,1041.979
605.855,651.722,103.144,1686.041,1767.68,1798.495,1057.495,1046.629,1089.052,1088.732,1227.381,861.33,862.515,805.258,850.113,839.32,900.237,942.876,1039.464
605.983,655.01,103.113,1678.897,1762.165,1787.773,1057.351,1047.093,1084.124,1089.402,1232.701,866.763,860.309,803.742,856.361,833.66,905.536,941.268,1045.99
606.112,659.907,102.186,1696.825,1781.433,1805.742,1073.031,1061.052,1102.072,1096.165,1238.567,872.268,878.969,809.031,858.784,849.67,915.639,956.144,1046.412
606.24,665.485,103.701,1701.124,1784.392,1801.381,1068.021,1060.454,1104.835,1101.309,1248.845,875.309,883.639,818.175,861.206,851.711,901.268,951.546,1055.907
606.368,657.196,103.526,1691.804,1781.619,1813.845,1072.361,1070.443,1102.052,1115.928,1249.093,879.567,874.299,815.258,869.814,854.103,914.351,947.196,1051.804
606.496,655.485,103.258,1694.732,1777.216,1796.639,1070.124,1061.629,1103.608,1101.186,1249.216,872.495,875.887,809.495,858.072,852.227,913.021,949.082,1053.856
606.624,654.433,101.897,1709.289,1800.619,1811.722,1069.794,1055.0,1105.237,1096.474,1247.495,868.856,882.186,812.227,860.155,850.918,903.278,949.938,1052.794
606.752,662.887,102.928,1713.66,1783.0,1811.175,1071.361,1061.68,1105.814,1112.124,1239.505,867.309,879.402,804.031,864.907,849.959,905.474,962.206,1057.278
606.88,660.062,102.216,1706.649,1788.814,1811.753,1076.433,1061.052,1111.402,1107.907,1248.835,880.495,877.577,811.361,871.742,847.598,914.155,958.557,1047.794
607.008,658.278,102.866,1720.598,1802.814,1818.0,1074.392,1067.856,1116.474,1110.753,1262.423,876.979,883.608,816.876,866.608,851.825,917.103,961.381,1052.918
607.137,658.557,103.485,1716.773,1798.186,1832.938,1081.381,1071.351,1118.454,1116.124,1259.928,869.093,886.505,814.577,876.237,851.835,914.99,962.144,1058.0
607.265,665.124,101.619,1718.711,1810.969,1830.938,1088.722,1073.381,1116.247,1119.247,1263.371,872.062,888.577,813.732,877.186,852.835,918.969,971.742,1059.423
607.393,668.206,102.918,1737.082,1821.814,1843.742,1083.165,1081.423,1118.742,1118.907,1274.258,885.268,888.825,821.887,872.309,859.711,917.866,961.825,1072.206
607.521,660.454,102.701,1727.845,1806.567,1826.588,1087.526,1062.67,1121.856,1112.247,1256.041,881.515,889.773,821.103,865.701,847.773,922.0,961.536,1059.072
