lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
593.555,745.701,102.763,1307.113,1216.34,1201.041,913.515,872.01,868.227,831.598,827.33,1370.897,1117.34,836.423,877.845,803.258,828.629,801.113,840.351
593.683,738.464,103.464,1306.0,1229.082,1207.887,919.175,879.072,855.175,829.722,819.825,1375.825,1110.103,832.227,871.454,813.938,844.763,798.423,832.175
593.812,743.113,103.021,1316.155,1238.485,1204.021,919.454,877.691,858.907,833.268,827.567,1382.753,1120.258,832.289,881.814,806.608,832.701,805.856,837.804
593.94,751.155,101.938,1323.196,1232.68,1214.546,937.113,887.454,869.588,830.938,829.309,1398.67,1124.835,850.299,884.557,808.825,838.082,805.918,843.381
594.068,744.505,102.814,1331.433,1235.856,1209.794,940.536,879.835,859.258,842.526,839.0,1389.216,1123.773,839.938,875.402,814.928,845.773,808.773,842.34
594.196,748.155,102.103,1321.299,1234.629,1212.113,931.835,892.381,874.216,836.99,843.691,1404.464,1134.237,847.103,890.536,822.268,845.526,806.495,851.216
594.324,743.485,103.701,1324.711,1238.0,1213.598,927.186,888.495,870.093,836.258,837.309,1397.804,1122.804,838.99,885.412,816.773,832.175,812.876,842.464
594.452,758.144,102.309,1329.753,1239.474,1217.722,941.876,896.124,872.031,842.526,840.536,1409.402,1144.887,851.897,898.464,826.124,847.371,806.515,856.134
594.58,758.371,104.134,1317.072,1236.258,1205.021,943.639,889.938,865.959,842.165,841.629,1417.66,1145.278,852.763,896.031,819.021,849.711,816.206,857.804
594.708,750.134,104.546,1331.299,1246.495,1226.784,939.165,894.567,878.959,844.351,838.577,1420.526,1151.443,852.814,894.763,818.155,844.082,819.722,844.423
594.837,758.072,103.34,1326.567,1232.155,1213.629,940.258,890.608,873.567,846.165,843.845,1419.598,1147.907,852.299,890.33,822.784,843.227,817.34,851.773
594.965,753.979,103.639,1334.701,1243.959,1222.784,944.402,902.33,877.268,851.072,840.134,1433.928,1164.526,857.402,897.515,824.835,848.753,814.155,859.546
595.093,751.351,104.144,1327.082,1245.701,1215.794,943.598,907.68,871.485,842.072,847.722,1427.598,1160.515,848.701,890.485,823.32,842.876,817.639,851.969
