omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
40.9,182,178,20.45,41.31302130344275,20.656510651721376,2.5501959847807383
41.0,206,189,20.5,41.412643059177896,20.706321529588948,2.5552370404697733
41.1,357,200,20.55,41.51226481491304,20.75613240745652,2.560270371235027
41.2,404,198,20.6,41.61188657064818,20.80594328532409,2.5652959618598716
41.3,321,183,20.65,41.71150832638332,20.85575416319166,2.570313797151075
41.4,204,167,20.7,41.81113008211846,20.90556504105923,2.5753238619388545
41.5,204,152,20.75,41.9107518378536,20.9553759189268,2.5803261410769154
41.6,166,145,20.8,42.010373593588746,21.005186796794373,2.5853206194425034
41.7,144,149,20.85,42.10999534932389,21.054997674661944,2.590307281936446
41.8,156,152,20.9,42.209617105059024,21.104808552529512,2.595286113483198
41.9,157,155,20.95,42.30923886079417,21.154619430397084,2.6002570990308915
42.0,173,154,21.0,42.40886061652931,21.204430308264655,2.605220223551378
42.1,163,150,21.05,42.50848237226445,21.254241186132226,2.61017547204027
42.2,147,146,21.1,42.60810412799959,21.304052063999794,2.6151228295169964
42.3,157,142,21.15,42.707725883734724,21.353862941867362,2.620062281024838
42.4,143,141,21.2,42.80734763946987,21.403673819734934,2.624993811630979
42.5,140,143,21.25,42.90696939520501,21.453484697602505,2.6299174064265487
42.6,166,144,21.3,43.00659115094015,21.503295575470077,2.634833050526667
42.7,158,146,21.35,43.106212906675296,21.553106453337648,2.639740729070492
42.8,149,145,21.4,43.20583466241043,21.602917331205216,2.6446404272212622
42.9,147,142,21.45,43.305456418145575,21.652728209072787,2.6495321301663424
43.0,150,138,21.5,43.40507817388072,21.70253908694036,2.6544158231172665
43.1,143,135,21.55,43.50469992961586,21.75234996480793,2.6592914913097876
43.2,152,134,21.6,43.604321685351,21.8021608426755,2.6641591200039154
43.3,133,136,21.65,43.70394344108614,21.85197172054307,2.6690186944839667
43.4,153,138,21.7,43.80356519682128,21.90178259841064,2.673870200058607
43.5,141,140,21.75,43.903186952556425,21.951593476278212,2.6787136220608945
43.6,154,139,21.8,44.00280870829157,22.001404354145784,2.6835489458483277
43.7,156,136,21.85,44.10243046402671,22.051215232013355,2.6883761568028843
43.8,127,132,21.9,44.202052219761846,22.101026109880923,2.6931952403310713
43.9,151,129,21.95,44.30167397549699,22.150836987748495,2.6980061818639647
44.0,145,128,22.0,44.40129573123213,22.200647865616066,2.702808966857256
44.1,135,131,22.05,44.500917486967275,22.250458743483637,2.7076035807912957
44.2,145,133,22.1,44.60053924270242,22.30026962135121,2.7123900091711346
44.3,138,136,22.15,44.70016099843755,22.350080499218777,2.717168237526572
44.4,145,133,22.2,44.799782754172696,22.399891377086348,2.7219382514121975
44.5,137,126,22.25,44.89940450990784,22.44970225495392,2.7267000364074323
44.6,114,118,22.3,44.99902626564298,22.49951313282149,2.7314535781165774
44.7,107,111,22.35,45.098648021378125,22.549324010689062,2.736198862168852
44.8,153,109,22.4,45.19826977711326,22.59913488855663,2.7409358742184433
44.9,148,112,22.45,45.2978915328484,22.6489457664242,2.745664599944542
45.0,120,115,22.5,45.397513288583546,22.698756644291773,2.750385025051395
45.1,156,118,22.55,45.49713504431868,22.74856752215934,2.755097135268336
45.2,127,117,22.6,45.596756800053825,22.798378400026913,2.759800916349844
45.3,146,112,22.65,45.69637855578896,22.84818927789448,2.764496354075572
45.4,99,107,22.7,45.796000311524104,22.898000155762052,2.769183434250402
45.5,110,102,22.75,45.89562206725925,22.947811033629623,2.773862142704477
45.6,120,103,22.8,45.99524382299439,22.997621911497195,2.778532465293253
45.7,161,110,22.85,46.09486557872953,23.047432789364766,2.7831943878975363
45.8,144,118,22.9,46.19448733446467,23.097243667232334,2.787847896423527
45.9,129,125,22.95,46.29410909019981,23.147054545099905,2.792492976802865
46.0,144,128,23.0,46.393730845934954,23.196865422967477,2.7971296149926683
46.1,143,127,23.05,46.4933526016701,23.24667630083505,2.801757796975578
46.2,125,126,23.1,46.59297435740524,23.29648717870262,2.8063775087597955
46.3,124,125,23.15,46.692596113140375,23.346298056570188,2.8109887363791364
46.4,127,120,23.2,46.79221786887552,23.39610893443776,2.8155914658930596
46.5,143,112,23.25,46.89183962461066,23.44591981230533,2.8201856833867187
46.6,119,103,23.3,46.991461380345804,23.495730690172902,2.824771374970997
46.7,127,95,23.35,47.09108313608095,23.545541568040473,2.8293485267825575
46.8,91,94,23.4,47.19070489181608,23.59535244590804,2.833917124983877
46.9,105,99,23.45,47.290326647551225,23.645163323775613,2.8384771557632917
47.0,138,104,23.5,47.38994840328637,23.694974201643184,2.843028605335041
47.1,129,109,23.55,47.48957015902151,23.744785079510756,2.847571459939305
47.2,112,112,23.6,47.589191914756654,23.794595957378327,2.8521057058422468
47.3,127,111,23.65,47.68881367049179,23.844406835245895,2.8566313293360572
47.4,131,111,23.7,47.78843542622693,23.894217713113466,2.8611483167389937
47.5,128,110,23.75,47.888057181962076,23.944028590981038,2.8656566543954205
47.6,110,109,23.8,47.98767893769722,23.99383946884861,2.870156328675853
47.7,128,105,23.85,48.08730069343236,24.04365034671618,2.874647325976998
47.8,113,102,23.9,48.1869224491675,24.09346122458375,2.8791296327217926
47.9,136,99,23.95,48.28654420490264,24.14327210245132,2.883603235359448
48.0,113,101,24.0,48.38616596063778,24.19308298031889,2.888068120365489
48.1,98,107,24.05,48.48578771637292,24.24289385818646,2.8925242742417963
48.2,126,114,24.1,48.58540947210806,24.29270473605403,2.8969716835166444
48.3,139,120,24.15,48.6850312278432,24.3425156139216,2.901410334744746
48.4,123,118,24.2,48.78465298357834,24.39232649178917,2.9058402145072906
48.5,130,109,24.25,48.88427473931348,24.44213736965674,2.910261309411985
48.6,131,101,24.3,48.983896495048626,24.491948247524313,2.9146736060930936
48.7,110,91,24.35,49.08351825078377,24.541759125391884,2.9190770912114807
48.8,87,89,24.4,49.183140006518904,24.591570003259452,2.923471751454648
48.9,130,94,24.45,49.28276176225405,24.641380881127024,2.927857573536778
49.0,150,99,24.5,49.38238351798919,24.691191758994595,2.9322345441987703
49.1,118,104,24.55,49.48200527372433,24.741002636862166,2.936602650208286
49.2,110,108,24.6,49.581627029459476,24.790813514729738,2.9409618783597846
49.3,106,113,24.65,49.68124878519461,24.840624392597306,2.9453122154745643
49.4,140,117,24.7,49.780870540929754,24.890435270464877,2.949653648400804
49.5,124,122,24.75,49.8804922966649,24.94024614833245,2.9539861640136
49.6,127,124,24.8,49.98011405240004,24.99005702620002,2.9583097492150077
49.7,124,123,24.85,50.07973580813518,25.03986790406759,2.962624390934083
49.8,130,122,24.9,50.17935756387032,25.08967878193516,2.966930076126913
49.9,121,121,24.95,50.27897931960546,25.13948965980273,2.9712267917766706
50.0,138,117,25.0,50.378601075340605,25.189300537670302,2.9755145248936388
50.1,126,110,25.05,50.47822283107575,25.239111415537874,2.9797932625152583
50.2,121,102,25.1,50.57784458681089,25.288922293405445,2.9840629917061645
50.3,122,95,25.15,50.677466342546026,25.338733171273013,2.988323699558228
50.4,118,93,25.2,50.77708809828117,25.388544049140584,2.992575373190591
50.5,91,96,25.25,50.87670985401631,25.438354927008156,2.9968179997497097
50.6,113,98,25.3,50.976331609751455,25.488165804875727,3.0010515664093877
50.7,137,102,25.35,51.0759533654866,25.5379766827433,3.005276060370821
50.8,103,103,25.4,51.17557512122173,25.587787560610867,3.0094914688626337
50.9,134,103,25.45,51.275196876956876,25.637598438478438,3.0136977791409167
51.0,150,103,25.5,51.37481863269201,25.687409316346006,3.0178949784892652
