omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
13.2,7916,7704,6.6,13.71779496480864,6.85889748240432,0.9160534121744249
13.3,7765,7582,6.65,13.817416720543783,6.908708360271891,0.9225770107494315
13.4,7666,7461,6.7,13.917038476278924,6.958519238139462,0.9290978202144743
13.5,7496,7339,6.75,14.016660232014063,7.0083301160070315,0.9356158208560175
13.6,7278,7233,6.8,14.116281987749204,7.058140993874602,0.9421309929690176
13.7,7485,7142,6.85,14.215903743484345,7.107951871742173,0.9486433168569817
13.8,7431,7052,6.9,14.315525499219488,7.157762749609744,0.9551527728320276
13.9,7445,6961,6.95,14.41514725495463,7.207573627477315,0.9616593412149433
14.0,7323,6837,7.0,14.51476901068977,7.257384505344885,0.968163002335247
14.1,6916,6680,7.05,14.614390766424911,7.307195383212456,0.9746637365312448
14.2,6789,6523,7.1,14.71401252216005,7.357006261080025,0.9811615241500926
14.3,6346,6366,7.15,14.813634277895193,7.406817138947597,0.9876563455478546
14.4,6550,6259,7.2,14.913256033630335,7.456628016815167,0.9941481810895608
14.5,6287,6203,7.25,15.012877789365476,7.506438894682738,1.000637011149269
14.6,6150,6147,7.3,15.112499545100617,7.556249772550308,1.0071228161101236
14.7,6065,6091,7.35,15.212121300835758,7.606060650417879,1.0136055763644132
14.8,6063,6009,7.4,15.3117430565709,7.65587152828545,1.020085272313632
14.9,7656,5901,7.45,15.411364812306042,7.705682406153021,1.0265618843685373
15.0,6542,5792,7.5,15.510986568041181,7.755493284020591,1.0330353929492104
15.1,6035,5684,7.55,15.610608323776322,7.805304161888161,1.0395057784851145
15.2,5853,5687,7.6,15.710230079511463,7.855115039755732,1.0459730214151544
15.3,5630,5801,7.65,15.809851835246606,7.904925917623303,1.0524371021877355
15.4,9387,5916,7.7,15.909473590981747,7.954736795490874,1.0588980012608227
15.5,8885,6030,7.75,16.00909534671689,8.004547673358445,1.0653556991020006
15.6,6907,6047,7.8,16.10871710245203,8.054358551226015,1.0718101761885304
15.7,6087,5967,7.85,16.20833885818717,8.104169429093584,1.0782614130074106
15.8,5768,5888,7.9,16.30796061392231,8.153980306961156,1.0847093900554372
15.9,6293,5808,7.95,16.407582369657455,8.203791184828727,1.0911540878392587
16.0,15720,5617,8.0,16.507204125392594,8.253602062696297,1.097595486875438
16.1,8819,5315,8.05,16.606825881127737,8.303412940563868,1.1040335676905124
16.2,5793,5014,8.1,16.706447636862876,8.353223818431438,1.1104683108210482
16.3,4642,4712,8.15,16.80606939259802,8.40303469629901,1.116899696813704
16.4,4561,4468,8.2,16.90569114833316,8.45284557416658,1.1233277062252864
16.5,4594,4281,8.25,17.0053129040683,8.50265645203415,1.1297523196228112
16.6,4122,4094,8.3,17.104934659803444,8.552467329901722,1.13617351758356
16.7,4117,3907,8.35,17.204556415538583,8.602278207769292,1.1425912806951397
16.8,3884,3732,8.4,17.304178171273723,8.652089085636861,1.149005589555542
16.9,3814,3568,8.45,17.403799927008862,8.701899963504431,1.1554164247732015
17.0,3621,3405,8.5,17.503421682744005,8.751710841372002,1.1618237669670537
