omega[deg],I[au],I_B[au],theta[deg],theta_corr[deg],omega_corr[deg],lambda[ang]
11.8,2885,2651,5.9,6.161545192258332,12.323090384516664,0.8244412348568271
11.9,2780,2534,5.95,6.211356070125903,12.422712140251805,0.8310018064368238
12.0,2646,2421,6.0,6.261166947993473,12.522333895986947,0.8375598657545469
12.1,2475,2313,6.05,6.310977825861043,12.621955651722086,0.8441153929838485
12.2,2320,2204,6.1,6.3607887037286135,12.721577407457227,0.8506683683062356
12.3,2188,2096,6.15,6.410599581596185,12.82119916319237,0.8572187719109294
12.4,2115,2003,6.2,6.4604104594637555,12.920820918927511,0.863766583994926
12.5,2042,1926,6.25,6.510221337331326,13.020442674662652,0.8703117847630567
12.6,2005,1849,6.3,6.560032215198897,13.120064430397793,0.8768543544280467
12.7,1884,1772,6.35,6.609843093066467,13.219686186132934,0.8833942732105758
12.8,1789,1693,6.4,6.659653970934038,13.319307941868075,0.8899315213393374
12.9,1733,1613,6.45,6.709464848801608,13.418929697603216,0.8964660790510994
13.0,1612,1533,6.5,6.759275726669179,13.518551453338358,0.9029979265907628
13.1,1585,1453,6.55,6.809086604536749,13.618173209073499,0.9095270442114223
13.2,1485,1381,6.6,6.85889748240432,13.71779496480864,0.9160534121744249
13.3,1413,1317,6.65,6.908708360271891,13.817416720543783,0.9225770107494315
13.4,1306,1252,6.7,6.958519238139462,13.917038476278924,0.9290978202144743
13.5,1285,1188,6.75,7.0083301160070315,14.016660232014063,0.9356158208560175
13.6,1213,1133,6.8,7.058140993874602,14.116281987749204,0.9421309929690176
13.7,1156,1089,6.85,7.107951871742173,14.215903743484345,0.9486433168569817
13.8,1122,1044,6.9,7.157762749609744,14.315525499219488,0.9551527728320276
13.9,1079,999,6.95,7.207573627477315,14.41514725495463,0.9616593412149433
14.0,1099,947,7.0,7.257384505344885,14.51476901068977,0.968163002335247
14.1,976,889,7.05,7.307195383212456,14.614390766424911,0.9746637365312448
14.2,935,830,7.1,7.357006261080025,14.71401252216005,0.9811615241500926
14.3,888,772,7.15,7.406817138947597,14.813634277895193,0.9876563455478546
14.4,848,738,7.2,7.456628016815167,14.913256033630335,0.9941481810895608
14.5,743,729,7.25,7.506438894682738,15.012877789365476,1.000637011149269
14.6,737,720,7.3,7.556249772550308,15.112499545100617,1.0071228161101236
14.7,714,711,7.35,7.606060650417879,15.212121300835758,1.0136055763644132
14.8,706,691,7.4,7.65587152828545,15.3117430565709,1.020085272313632
14.9,800,661,7.45,7.705682406153021,15.411364812306042,1.0265618843685373
15.0,680,630,7.5,7.755493284020591,15.510986568041181,1.0330353929492104
15.1,585,600,7.55,7.805304161888161,15.610608323776322,1.0395057784851145
15.2,636,619,7.6,7.855115039755732,15.710230079511463,1.0459730214151544
15.3,588,686,7.65,7.904925917623303,15.809851835246606,1.0524371021877355
15.4,854,753,7.7,7.954736795490874,15.909473590981747,1.0588980012608227
15.5,1685,820,7.75,8.004547673358445,16.00909534671689,1.0653556991020006
15.6,1916,979,7.8,8.054358551226015,16.10871710245203,1.0718101761885304
15.7,1903,1228,7.85,8.104169429093584,16.20833885818717,1.0782614130074106
15.8,1897,1477,7.9,8.153980306961156,16.30796061392231,1.0847093900554372
15.9,1851,1726,7.95,8.203791184828727,16.407582369657455,1.0911540878392587
16.0,2303,1810,8.0,8.253602062696297,16.507204125392594,1.097595486875438
16.1,1882,1728,8.05,8.303412940563868,16.606825881127737,1.1040335676905124
16.2,1742,1645,8.1,8.353223818431438,16.706447636862876,1.1104683108210482
16.3,1594,1563,8.15,8.40303469629901,16.80606939259802,1.116899696813704
16.4,1522,1509,8.2,8.45284557416658,16.90569114833316,1.1233277062252864
16.5,1565,1482,8.25,8.50265645203415,17.0053129040683,1.1297523196228112
16.6,1514,1455,8.3,8.552467329901722,17.104934659803444,1.13617351758356
16.7,1454,1428,8.35,8.602278207769292,17.204556415538583,1.1425912806951397
16.8,1415,1384,8.4,8.652089085636861,17.304178171273723,1.149005589555542
16.9,1471,1322,8.45,8.701899963504431,17.403799927008862,1.1554164247732015
17.0,1311,1259,8.5,8.751710841372002,17.503421682744005,1.1618237669670537
17.1,1386,1197,8.55,8.801521719239574,17.603043438479148,1.168227596766594
17.2,1292,1156,8.6,8.851332597107143,17.702665194214287,1.1746278948119369
17.3,1166,1138,8.65,8.901143474974715,17.80228694994943,1.1810246417538743
17.4,1201,1118,8.7,8.950954352842285,17.90190870568457,1.187417818253932
17.5,1143,1099,8.75,9.000765230709856,18.001530461419712,1.1938074049844318
17.6,1177,1084,8.8,9.050576108577427,18.101152217154855,1.2001933826285471
17.7,1090,1073,8.85,9.100386986444997,18.200773972889994,1.206575731880363
17.8,1097,1062,8.9,9.150197864312569,18.300395728625137,1.2129544334449323
17.9,1093,1051,8.95,9.200008742180138,18.400017484360276,1.2193294680383362
18.0,1054,1031,9.0,9.24981962004771,18.49963924009542,1.2257008163877425
18.1,1046,1000,9.05,9.299630497915281,18.599260995830562,1.2320684592314621
